,key,booktitle,crossref,title,year
81,nooj/ChennyM16,NooJ,nooj/2016,Generating Alerts from Automatically-Extracted Tweets in Standard Arabic.,2016
82,nooj/HammoudaH18,NooJ,nooj/2018,Improvement of Arabic NooJ Parser with Disambiguation Rules.,2018
83,nooj/MotaBB18,NooJ,nooj/2018,The Lexicon-Grammar of Predicate Nouns with ser de in Port4NooJ.,2018
84,nooj/Buono15,NooJ,nooj/2015,Semi-automatic Indexing and Parsing Information on the Web with NooJ.,2015
85,nooj/Yang18,NooJ,nooj/2018,Automatic Extraction of Verbal Phrasemes in the Culinary Field with NooJ.,2018
86,nooj/Silberztein15,NooJ,nooj/2015,Joe Loves Lea: Transformational Analysis of Direct Transitive Sentences.,2015
87,nooj/Lay18,NooJ,nooj/2018,"Pastries or Soaps? - A Stylometric Analysis of Leonarda Cianciulli's Manuscript and Other Procedural Documents, with NooJ.",2018
88,nooj/KaigorodovaRNHG15,NooJ,nooj/2015,Language Modeling for Robots-Human Interaction.,2015
89,nooj/BlancheteMMM17,NooJ,nooj/2017,Formalizing Arabic Inflectional and Derivational Verbs Based on Root and Pattern Approach Using NooJ Platform.,2017
90,nooj/KassmiMMM17,NooJ,nooj/2017,Processing Agglutination with a Morpho-Syntactic Graph in NooJ.,2017
91,nooj/NajarMG15,NooJ,nooj/2015,A Large Terminological Dictionary of Arabic Compound Words.,2015
92,nooj/VekaY15,NooJ,nooj/2015,Automatic Translation from Belarusian into Spanish Based on Using Nooj's Linguistic Resources.,2015
93,nooj/MirtoC17,NooJ,nooj/2017,Invalid Syntax: NooJ Assisted Automatic Detection of Errors in Auxiliaries and Past Participles in Italian.,2017
94,nooj/BourahmaMMM18,NooJ,nooj/2018,Expansive Simple Arabic Sentence Parsing Using NooJ Platform.,2018
95,nooj/Duran16,NooJ,nooj/2016,Quechua Module for NooJ Multilingual Linguistic Resources for MT.,2016
96,nooj/EssidF18,NooJ,nooj/2018,A Semantico-Syntactic Disambiguation System of Arabic Movement and Speech Verbs and Their Automatic Translation to French Using NooJ.,2018
97,nooj/Cheikhrouhou17,NooJ,nooj/2017,The Automatic Translation of French Verbal Tenses to Arabic Using the Platform NooJ.,2017
98,nooj/MotaCB17,NooJ,nooj/2017,Integrating the Lexicon-Grammar of Predicate Nouns with Support Verb fazer into Port4NooJ.,2017
99,nooj/HammoudaH15,NooJ,nooj/2015,Study and Resolution of Arabic Lexical Ambiguity Through Transduction on Text Automaton.,2015
100,nooj/Koza16,NooJ,nooj/2016,Enumerative Series in Spanish: Formalization and Automatic Detection.,2016
101,nooj/Duran15,NooJ,nooj/2015,The Annotation of Compound Suffixation Structure of Quechua Verbs.,2015
102,nooj/Yang17,NooJ,nooj/2017,Automatic Extraction of the Phraseology Through NooJ.,2017
103,nooj/LysySH16,NooJ,nooj/2016,Addition of IPA Transcription to the Belarusian NooJ Module.,2016
104,nooj/Cheikhrouhou16,NooJ,nooj/2016,Arabic Translation of the French Auxiliary: Using the Platform NooJ.,2016
105,nooj/Pelosi15,NooJ,nooj/2015,Morphological Relations for the Automatic Expansion of Italian Sentiment Lexicons.,2015
106,nooj/ScoppettaAMLCM17,NooJ,nooj/2017,From Language to Social Perception of Immigration.,2017
107,nooj/KarlBR18,NooJ,nooj/2018,A Construction Grammar Approach in the NooJ Framework: Semantic Analysis of Lexemes Describing Emotions in Croatian.,2018
108,nooj/Duran18,NooJ,nooj/2018,An Automated French-Quechua Conjugator.,2018
109,nooj/Langella16,NooJ,nooj/2016,Paraphrases for the Italian Communication Predicates.,2016
110,nooj/NajarMG16,NooJ,nooj/2016,Inflectional and Morphological Variation of Arabic Multi-word Expressions.,2016
111,nooj/RodrigoRA18,NooJ,nooj/2018,Some Considerations Regarding the Adverb in Spanish and Its Automatic Treatment: A Pedagogical Application of the NooJ Platform.,2018
112,nooj/HetsevichVKRL16,NooJ,nooj/2016,Semi-automatic Part-of-Speech Annotating for Belarusian Dictionaries Enrichment in NooJ.,2016
113,nooj/VolpeEE17,NooJ,nooj/2017,Semantic Predicates in the Business Language.,2017
114,nooj/SojatKF18,NooJ,nooj/2018,Processing Croatian Aspectual Derivatives.,2018
115,nooj/BourahmaMMM17,NooJ,nooj/2017,The Parsing of Simple Arabic Verbal Sentences Using NooJ Platform.,2017
116,nooj/MotaC0B15,NooJ,nooj/2015,Generating Paraphrases of Human Intransitive Adjective Constructions with Port4NooJ.,2015
117,nooj/Silberztein18,NooJ,nooj/2018,Unary Transformations for French Transitive Sentences.,2018
118,nooj/KocijanJL16,NooJ,nooj/2016,Recognizing Diminutive and Augmentative Croatian Nouns.,2016
119,nooj/Parisi16,NooJ,nooj/2016,Clinical Term Recognition: From Local to LOINCÂ® Terminology. An Application for Italian Language.,2016
120,nooj/RhaziB17,NooJ,nooj/2017,Corpus-Based Extraction and Translation of Arabic Multi-Words Expressions (MWEs).,2017
121,nooj/MonteleoneGM17,NooJ,nooj/2017,NooJ Morphological Grammars for Stenotype Writing.,2017
122,nooj/Blanco15,NooJ,nooj/2015,A Hierarchy of Semantic Labels for Spanish Dictionaries.,2015
123,nooj/HetsevichKKDZS17,NooJ,nooj/2017,Sentiment Analysis Algorithms for the Belarusian NooJ Module in Touristic Sphere.,2017
124,nooj/Monteleone15,NooJ,nooj/2015,NooJ Local Grammars and Formal Semantics: Past Participles vs. Adjectives in Italian.,2015
125,nooj/Monteleone18,NooJ,nooj/2018,NooJ Grammars and Ethical Algorithms: Tackling On-Line Hate Speech.,2018
126,nooj/Yamouni15,NooJ,nooj/2015,A French-Tamazight MT System for Computer Science.,2015
127,nooj/SeidehFH15,NooJ,nooj/2015,Named Entity Recognition from Arabic-French Herbalism Parallel Corpora.,2015
128,nooj/BorodinaH15,NooJ,nooj/2015,Using NooJ to Process Satellite Data.,2015
129,nooj/RodrigoRB17,NooJ,nooj/2017,Some Aspects Concerning the Automatic Treatment of Adjectives and Adverbs in Spanish: A Pedagogical Application of the NooJ Platform.,2017
130,nooj/SojatKB17,NooJ,nooj/2017,Identification of Croatian Light Verb Constructions with NooJ.,2017
131,nooj/EspositoV16,NooJ,nooj/2016,Using Text Mining and Natural Language Processing to Support Business Decision: Towards a NooJ Application.,2016
132,nooj/ReentovichHVKKT15,NooJ,nooj/2015,The First One-Million Corpus for the Belarusian NooJ Module.,2015
133,nooj/Monteleone16,NooJ,nooj/2016,NooJ Local Grammars for Endophora Resolution.,2016
134,nooj/KocijanBM18,NooJ,nooj/2018,Detecting Latin-Based Medical Terminology in Croatian Texts.,2018
135,nooj/KocijanL15,NooJ,nooj/2015,Recognizing Verb-Based Croatian Idiomatic MWUs.,2015
136,nooj/ParisiC18,NooJ,nooj/2018,A Set of NooJ Grammars to Verify Laboratory Data Correctness.,2018
137,issac/Moses81,SYMSACC,issac/1981,Algebraic computation for the masses.,1981
138,issac/Krone16,ISSAC,issac/2016,Equivariant GrÃ¶bner Bases of Symmetric Toric Ideals.,2016
139,issac/Kajler92,ISSAC,issac/1992,CAS/PI: A Portable and Extensible Interface for Computer Algebra Systems.,1992
140,issac/RobinsonC06,ISSAC,issac/2006,A parallel architecture for disk-based computing over the Baby Monster and other large finite simple groups.,2006
141,issac/BelkovL91,ISSAC,issac/1991,REDUCE Usage for Calculation of Low-Energy Process Amplitudes in Chiral QCD Model.,1991
142,issac/SextonS06,ISSAC,issac/2006,Abstract matrices in symbolic computation.,2006
143,issac/BurgisserS07,ISSAC,issac/2007,Differential forms in computational algebraic geometry.,2007
144,issac/DahanS04,ISSAC,issac/2004,Sharp estimates for triangular sets.,2004
145,issac/Poulisse06,ISSAC,issac/2006,Computational communicative algebra.,2006
146,issac/ZhouW06,ISSAC,issac/2006,GrÃ¶bner bases in difference-differential modules.,2006
147,issac/DinYZ18,ISSAC,issac/2018,On the Complexity of Computing Real Radicals of Polynomial Systems.,2018
148,issac/BiniP90,ISSAC,issac/1990,Parallel Polynomial Computations by Recursive Processes.,1990
149,issac/Parker17,PASCO@ISSAC,issac/2017pasco,Meataxe64: High performance linear algebra over finite fields.,2017
150,issac/IshikawaK12,ISSAC,issac/2012,Zeilberger's holonomic ansatz for Pfaffians.,2012
151,issac/SteinZ91,ISSAC,issac/1991,An Algorithm for Determining the Regulator and the Fundamental Unit of Hyperelliptic congruence Function Field.,1991
152,issac/Teitelbaum88,ISSAC,issac/1988,On the Computational Complexity of the Resolution of Plane Curve Singularities.,1988
153,issac/WuR07,ISSAC,issac/2007,Symbolic-numeric computation of implicit riquier bases for PDE.,2007
154,issac/Shackle89,ISSAC,issac/1989,A Differential-Equations Approach to Functional Equivalence.,1989
155,issac/MouB18,ISSAC,issac/2018,On the Chordality of Polynomial Sets in Triangular Decomposition in Top-Down Style.,2018
156,issac/Langemyr91,ISSAC,issac/1991,An Analysis of the Subresultant Algorithm Over an Algebraic Number Field.,1991
157,issac/BuseD07,ISSAC,issac/2007,Implicitization of bihomogeneous parametrizations of algebraic surfaces via linear syzygies.,2007
158,issac/AllamigeonGS16,ISSAC,issac/2016,Solving Generic Nonarchimedean Semidefinite Programs Using Stochastic Game Algorithms.,2016
159,issac/KapurW90,ISSAC,issac/1990,Refutational Proofs of Geometry Theorems via Characteristic Set Computation.,1990
160,issac/NeigerV17,ISSAC,issac/2017,Computing Canonical Bases of Modules of Univariate Relations.,2017
161,issac/Hoeij98,ISSAC,issac/1998,Rational Solutions of Linear Difference Equations.,1998
162,issac/BayerS86,SYMSAC,issac/1986,The design of Macaulay: a system for computing in algebraic geometry and commutative algebra.,1986
163,issac/ShaoL18,ISSAC,issac/2018,Fast Straightening Algorithm for Bracket Polynomials Based on Tableau Manipulations.,2018
164,issac/Biscani12,ISSAC,issac/2012,Parallel sparse polynomial multiplication on modern hardware architectures.,2012
165,issac/FriedmanWW76,SYMSACC,issac/1976,Recursive programming through table look-up.,1976
166,issac/Fogelholm81,SYMSACC,issac/1981,Computation for conductance distributions of percolation lattice cells.,1981
167,issac/GiesbrechtHL18,ISSAC,issac/2018,Computing Nearby Non-trivial Smith Forms.,2018
168,issac/Purtilo86,SYMSAC,issac/1986,Applications of a software interconnection system in mathematical problem solving environments.,1986
169,issac/JeannerodNSV16,ISSAC,issac/2016,Fast Computation of Minimal Interpolation Bases in Popov Form for Arbitrary Shifts.,2016
170,issac/MoritsuguK99,ISSAC,issac/1999,On Multiple Zeros of Systems of Algebraic Equations.,1999
171,issac/Davenport92,ISSAC,issac/1992,Primality Testing Revisited.,1992
172,issac/Binder96,ISSAC,issac/1996,Fast Computations in the Lattice of Polynomial Rational Function Fields.,1996
173,issac/Hitz05,ISSAC,issac/2005,On computing nearest singular hankel matrices.,2005
174,issac/LiaoF95,ISSAC,issac/1995,Evaluation of the Heuristic Polynomial GCD.,1995
175,issac/Saunders81,SYMSACC,issac/1981,An implementation of Kovacic's algorithm for solving second order linear homogeneous differential equations.,1981
176,issac/CollinsK92,ISSAC,issac/1992,An Efficient Algorithm for Infallible Polynomial Complex Root Isolation.,1992
177,issac/GuidolinDRV19,ISSAC,issac/2019,Computing Multipersistence by Means of Spectral Systems.,2019
178,issac/Grigoriev96,ISSAC,issac/1996,Testing Shift-Equivalence of Polynomials Using Quantum Machines.,1996
179,issac/BoulierL00,ISSAC,issac/2000,Computing canonical representatives of regular differential ideals.,2000
180,issac/BostanCS05,ISSAC,issac/2005,Fast algorithms for polynomial solutions of linear differential equations.,2005
181,issac/Dooley98,ISSAC,issac/1998,Coordinating Mathematical Content and Presentation Markup in Interactive Mathematical Documents.,1998
182,issac/PaourisPR19,ISSAC,issac/2019,A Faster Solution to Smale's 17th Problem I: Real Binomial Systems.,2019
183,issac/DiekertMW15,ISSAC,issac/2015,Amenability of Schreier Graphs and Strongly Generic Algorithms for the Conjugacy Problem.,2015
184,issac/Schicho98,ISSAC,issac/1998,Rational Parametrization of Real Algebraic Surfaces.,1998
185,issac/StrzebonskiT12,ISSAC,issac/2012,Univariate real root isolation in multiple extension fields.,2012
186,issac/Verschelde04,ISSAC,issac/2004,Numerical algebraic geometry and symbolic computation.,2004
187,issac/DebeerstHK08,ISSAC,issac/2008,Solving differential equations in terms of bessel functions.,2008
188,issac/Franova90,ISSAC,issac/1990,PRECOMAS an Implementation of Constructive Matching Methodology.,1990
189,issac/BinderAENM00,ISSAC,issac/2000,Algorithms for near-rings of non-linear transformations.,2000
190,issac/LiskaS91,ISSAC,issac/1991,Algorithms for Difference Schemes construction on Non-Orthogonal Logically Rectangular Meshes.,1991
191,issac/BasuPR98,ISSAC,issac/1998,Complexity of Computing Semi-Algebraic Descriptions of the Connected Components of a Semi-Algebraic Set.,1998
192,issac/Mandache94,ISSAC,issac/1994,The GrÃ¶bner Basis Algorithm and Subresultant Theory.,1994
193,issac/GalligoP05,ISSAC,issac/2005,Selfintersections of a bÃ©zier bicubic surface.,2005
194,issac/SasakiY98,ISSAC,issac/1998,An Analysis of Cancellation Error in Multivariate Hensel Construction with Floating-Point Number Arithmetic.,1998
195,issac/Gathen09,ISSAC,issac/2009,The number of decomposable univariate polynomials. extended abstract.,2009
196,issac/BabaiBR93,ISSAC,issac/1993,Deciding Finiteness of Matrix Groups in Deterministic Polynomial Time.,1993
197,issac/Sekigawa07a,SNC,issac/2007snc,The nearest polynomial with a zero in a given domain.,2007
198,issac/GuoDZ13,ISSAC,issac/2013,Computing rational solutions of linear matrix inequalities.,2013
199,issac/Fateman81b,SYMSACC,issac/1981,Computer algebra and numerical integration.,1981
200,issac/KuhnMO92,ISSAC,issac/1992,Computing Presentations for Subgroups of Context-Free Groups.,1992
201,issac/EmirisR94,ISSAC,issac/1994,Monomial Bases and Polynomial System Solving (extended abstract).,1994
202,issac/SurguladzeS91,ISSAC,issac/1991,"Algebraic Perturbative Calculations in High Energy Physics: Methods, Algorithms, Computer Programs and Physical Applications.",1991
203,issac/GebauerKWW91,ISSAC,issac/1991,CASA: A Computer Algebra Package for Constructive Algebraic Geometry.,1991
204,issac/Le02,ISSAC,issac/2002,Simplification of definite sums of rational functions by creative symmetrizing method.,2002
205,issac/BannwarthD15,ISSAC,issac/2015,Probabilistic Algorithm for Computing the Dimension of Real Algebraic Sets.,2015
206,issac/LiYZ10,ISSAC,issac/2010,Blind image deconvolution via fast approximate GCD.,2010
207,issac/ChengHTZZ07,ISSAC,issac/2007,Time-and space-efficient evaluation of some hypergeometric constants.,2007
208,issac/Cox07,ISSAC,issac/2007,GrÃ¶bner bases: a sampler of recent developments.,2007
209,issac/PohstY81,SYMSACC,issac/1981,On solving systems of algebraic equations via ideal bases and elimination theory.,1981
210,issac/Moody11,ISSAC,issac/2011,Division polynomials for Jacobi quartic curves.,2011
211,issac/Levin13,ISSAC,issac/2013,Multivariate difference-differential dimension polynomials and new invariants of difference-differential field extensions.,2013
212,issac/LuksRW94,ISSAC,issac/1994,Computing Normalizers in Permutation ,1994
213,issac/KaltofenYZ06,ISSAC,issac/2006,Approximate greatest common divisors of several polynomials with linearly constrained coefficients and singular polynomials.,2006
214,issac/DumasK14,ISSAC,issac/2014,Essentially optimal interactive certificates in linear algebra.,2014
215,issac/Gonzalez-Vega91a,ISSAC,issac/1991,Working with Real Algebraic Plane Curves in REDUCE the GCUR Package.,1991
216,issac/Hoeven97,ISSAC,issac/1997,Lazy Multiplication of Formal Power Series.,1997
217,issac/JohanssonKM13,ISSAC,issac/2013,Finding hyperexponential solutions of linear ODEs by numerical evaluation.,2013
218,issac/BostanCSLS07,ISSAC,issac/2007,Differential equations for algebraic functions.,2007
219,issac/KauersS11,ISSAC,issac/2011,A refined denominator bounding algorithm for multivariate linear difference equations.,2011
220,issac/BrightS11,ISSAC,issac/2011,Vector rational number reconstruction.,2011
221,issac/BigattiR06,ISSAC,issac/2006,CoCoA: a system for computations in commutative algebra.,2006
222,issac/ReidW00,ISSAC,issac/2000,Determination of maximal symmetry groups of classes of differential equations.,2000
223,issac/EdelsbrunnerP88,ISSAC,issac/1988,Tetrahedrizing Point Sets in Three Dimensions.,1988
224,issac/BeaumontBD03,ISSAC,issac/2003,Better simplification of elementary functions through power series.,2003
225,issac/GrigorievS05,ISSAC,issac/2005,Generalized Loewy-decomposition of d-modules.,2005
226,issac/BaazL90,ISSAC,issac/1990,A Strong Problem Reduction Method Based on Function Introduction.,1990
227,issac/Fitch81,SYMSACC,issac/1981,The automatic derivation of periodic solutions to a class of weakly nonlinear differential equations.,1981
228,issac/MonaganP09,ISSAC,issac/2009,Parallel sparse polynomial multiplication using heaps.,2009
229,issac/HenrionND18,ISSAC,issac/2018,Exact Algorithms for Semidefinite Programs with Degenerate Feasible Set.,2018
230,issac/Zippel91,ISSAC,issac/1991,Rational Function Decomposition.,1991
231,issac/GrigorievK91,ISSAC,issac/1991,Algorithms for Sparse Rational Interpolation.,1991
232,issac/SunWMZ12,ISSAC,issac/2012,A signature-based algorithm for computing GrÃ¶bner bases in solvable polynomial algebras.,2012
233,issac/Kauers14,ISSAC,issac/2014,Bounds for D-finite closure properties.,2014
234,issac/Monagan05,ISSAC,issac/2005,Probabilistic algorithms for computing resultants.,2005
235,issac/GrigorievKO92,ISSAC,issac/1992,Existence of Short Proofs for Nondivisibility of Sparse Polynomials under the Extended Riemann Hypothesis.,1992
236,issac/Valibouze89,ISSAC,issac/1989,Resolvents and Symmetric Functions.,1989
237,issac/KleczkaK91,ISSAC,issac/1991,Systematic Computer-Aided Analysis of Dynamic Systems.,1991
238,issac/KrishnanM95,ISSAC,issac/1995,Numeric-Symbolic Algorithms for Evaluating One-Dimensional Algebraic Sets.,1995
239,issac/AbramovK91,ISSAC,issac/1991,Fast Algorithms to Search for the Rational Solutions of Linear Differential Equations with Polynomial Coefficients.,1991
240,issac/ButlerC88,ISSAC,issac/1988,"Cayley, Version 4: The User Language.",1988
241,issac/Larrieu17,ISSAC,issac/2017,The Truncated Fourier Transform for Mixed Radices.,2017
242,issac/DingleF94,ISSAC,issac/1994,Branch Cuts in Computer Algebra.,1994
243,issac/YangZZ13,ISSAC,issac/2013,Verified error bounds for real solutions of positive-dimensional polynomial systems.,2013
244,issac/Poloskov98,ISSAC,issac/1998,Compound Program Packages and a Nonlinear Random Fluctuations Analysis.,1998
245,issac/NabeshimaOT16,ISSAC,issac/2016,"Comprehensive GrÃ¶bner Systems in Rings of Differential Operators, Holonomic D-modules and B-functions.",2016
246,issac/Fitch81a,SYMSACC,issac/1981,User-based integration software.,1981
247,issac/BarkatouM15,ISSAC,issac/2015,Removing Apparent Singularities of Systems of Linear Differential Equations with Rational Function Coefficients.,2015
248,issac/KoseleffRT15,ISSAC,issac/2015,On the Sign of a Trigonometric Expression.,2015
249,issac/CorlessR07,SNC,issac/2007snc,The nearest polynomial of lower degree.,2007
250,issac/XuBY18,ISSAC,issac/2018,An Approach for Certifying Homotopy Continuation Paths: Univariate Case.,2018
251,issac/GaroufalidisK12,ISSAC,issac/2012,Twisting q-holonomic sequences by complex roots of unity.,2012
252,issac/ImamogluKY18,ISSAC,issac/2018,Sparse Polynomial Interpolation With Arbitrary Orthogonal Polynomial Bases.,2018
253,issac/FilateiLMS06,ISSAC,issac/2006,Implementation techniques for fast polynomial arithmetic in a high-level programming environment.,2006
254,issac/HoevenL18,ISSAC,issac/2018,Fast Reduction of Bivariate Polynomials with Respect to Sufficiently Regular GrÃ¶bner Bases.,2018
255,issac/Bayer04,ISSAC,issac/2004,Optimal descriptions of orbit spaces and strata of finite groups.,2004
256,issac/CorlessDJ07,ISSAC,issac/2007,The solution of ,2007
257,issac/BigattiHS19,ISSAC,issac/2019,Monomial Resolutions for Efficient Computation of Simplicial Homology.,2019
258,issac/BachS13,ISSAC,issac/2013,Approximately counting semismooth integers.,2013
259,issac/MonaganM97,ISSAC,issac/1997,A Toolbox for Program Manipulation and Efficient Code Generation with an Application to a Problem in Computer Vision.,1997
260,issac/Nagasaka11,ISSAC,issac/2011,Computing a structured GrÃ¶bner basis approximately.,2011
261,issac/ChenHKL15,ISSAC,issac/2015,A Modified Abramov-Petkovsek Reduction and Creative Telescoping for Hypergeometric Terms.,2015
262,issac/AvitzurBK95,ISSAC,issac/1995,From Honest to Intelligent Plotting.,1995
263,issac/Salvy05,ISSAC,issac/2005,D-finiteness: algorithms and applications.,2005
264,issac/LambanMRR13,ISSAC,issac/2013,Certified symbolic manipulation: bivariate simplicial polynomials.,2013
265,issac/ChenM07,SNC,issac/2007snc,Border bases of positive dimensional polynomial ideals.,2007
266,issac/Nabeshima07,ISSAC,issac/2007,A speed-up of the algorithm for computing comprehensive GrÃ¶bner systems.,2007
267,issac/Giesbrecht95,ISSAC,issac/1995,Fast Computation of the Smith Normal Form of an Integer Matrix.,1995
268,issac/KapurS97,ISSAC,issac/1997,Extraneous Factors in the Dixon Resultant Formulation.,1997
269,issac/KeadyR93,ISSAC,issac/1993,An Application of IRENA to Systems of Nonlinear Equations Arising in Equilibrium Flows in Networks..,1993
270,issac/Volcheck93,ISSAC,issac/1993,Noether's ,1993
271,issac/ZhouL09,ISSAC,issac/2009,Efficient computation of order bases.,2009
272,issac/BahrdtS17,ISSAC,issac/2017,Rational Points on the Unit Sphere: Approximation Complexity and Practical Constructions.,2017
273,issac/BerthomieuBF15,ISSAC,issac/2015,Linear Algebra for Computing GrÃ¶bner Bases of Linear Recursive Multidimensional Sequences.,2015
274,issac/BiniB07,ISSAC,issac/2007,Structured matrix-based methods for polynomial in-gcd: analysis and comparisons.,2007
275,issac/SmithRJ07,ISSAC,issac/2007,Algorithmic differentiation in Axiom.,2007
276,issac/Sommeling94,ISSAC,issac/1994,Characteristic Classes for Irregular Singularities.,1994
277,issac/Saunders01,ISSAC,issac/2001,Black box methods for least squares problems.,2001
278,issac/DoraMMY01,ISSAC,issac/2001,Hybrid computation.,2001
279,issac/GanzhaVBH94,ISSAC,issac/1994,Symbolic-Numeric Stability Investigations of Jameson's Schemes for the Thin-Layer Navier-Stokes Equations.,1994
280,issac/AbbottSZ00,ISSAC,issac/2000,Factorization in ***[,2000
281,issac/Tsarev10,ISSAC,issac/2010,Transformation and factorization of partial differential systems: applications to stochastic systems.,2010
282,issac/Li98,ISSAC,issac/1998,A Subresultant Theory for Ore Polynomials with Applications.,1998
283,issac/StetterT98,ISSAC,issac/1998,Singular Systems of Polynomials.,1998
284,issac/Hoeij95,ISSAC,issac/1995,An Algorithm for Computing the Weierstrass Normal Form.,1995
285,issac/Sudan08,ISSAC,issac/2008,Algebraic algorithms and coding theory.,2008
286,issac/Kryukov86,SYMSAC,issac/1986,Dialogue in REDUCE: experience and development.,1986
287,issac/SingerSC81,SYMSACC,issac/1981,An extension of Liouville's theorem on integration in finite terms.,1981
288,issac/AbramovP01,ISSAC,issac/2001,Minimal decomposition of indefinite hypergeometric sums.,2001
289,issac/Butler92,ISSAC,issac/1992,Experimental Comparison of Algorithms for Sylow Subgroups.,1992
290,issac/Lazard06,ISSAC,issac/2006,Solving Kaltofen's challenge on Zolotarev's approximation problem.,2006
291,issac/BoyleP06,ISSAC,issac/2006,Application of high-precision computing for pricing arithmetic asian options.,2006
292,issac/KaiNN07,SNC,issac/2007snc,A hybrid integral for parametrized rational functions.,2007
293,issac/Chen90,ISSAC,issac/1990,An Algorithm for Computing the Formal Solutions of Differential Systems in the Neighborhood of an Irregular Singular Point.,1990
294,issac/Schmidt76,SYMSACC,issac/1976,Automatic symbolic solution of differential equations of first order and first degree.,1976
295,issac/Fujimoto14,ISSAC,issac/2014,How to develop a mobile computer algebra system.,2014
296,issac/RodriguezT15,ISSAC,issac/2015,Data-Discriminants of Likelihood Equations.,2015
297,issac/ClamondDG15,ISSAC,issac/2015,Computer Algebra Applied to a Solitary Waves Study.,2015
298,issac/KryukovRL86,SYMSAC,issac/1986,Construction of rational approximations by means of REDUCE.,1986
299,issac/GiesbrechtR08,ISSAC,issac/2008,On lacunary polynomial perfect powers.,2008
300,issac/EmirisV14,ISSAC,issac/2014,"Root counts of semi-mixed systems, and an application to counting nash equilibria.",2014
301,issac/Shackell99,ISSAC,issac/1999,Star Products and the Representation of Asymptotic Growth.,1999
302,issac/StorjohannL96,ISSAC,issac/1996,Asymptotically Fast Computation of Hermite Normal Forms of Integer Matrices.,1996
303,issac/ApelK91,ISSAC,issac/1991,FELIX - An Assistant for Alebraists.,1991
304,issac/Aoki19,ISSAC,issac/2019,Algebraic Methods in the Design of Experiments.,2019
305,issac/Fateman91,ISSAC,issac/1991,Canonical Representations in Lisp and Applications to Computer Algebra systems.,1991
306,issac/DalmasGW97,ISSAC,issac/1997,An OpenMath 1.0 Implementation.,1997
307,issac/EinwohnerF95,ISSAC,issac/1995,Searching Techniques for Integral Tables.,1995
308,issac/Sasaki01,ISSAC,issac/2001,Approximate multivariate polynomial factorization based on zero-sum relations.,2001
309,issac/ChandrasekaranG18,ISSAC,issac/2018,Fast Algorithms for Displacement and Low-Rank Structured Matrices.,2018
310,issac/MourrainT14,ISSAC,issac/2014,Toric border basis.,2014
