key,author
thipeac/MolnosCHE07,Anca Mariana Molnos
thipeac/MolnosCHE07,Jos T. J. van Eijndhoven
thipeac/MolnosCHE07,Marc J. M. Heijligers
thipeac/MolnosCHE07,Sorin Dan Cotofana
thipeac/YuanYF11,Dongrui Fan
thipeac/YuanYF11,Lei Yu
thipeac/YuanYF11,Nan Yuan
thipeac/FursinCOT07,Albert Cohen 0001
thipeac/FursinCOT07,Grigori Fursin
thipeac/FursinCOT07,Michael F. P. O'Boyle
thipeac/FursinCOT07,Olivier Temam
thipeac/BeiuMKM11,Basheer A. M. Madappuram
thipeac/BeiuMKM11,Liam McDaid
thipeac/BeiuMKM11,Peter M. Kelly
thipeac/BeiuMKM11,Valeriu Beiu
thipeac/KlugOWT11,Carsten Trinitis
thipeac/KlugOWT11,Josef Weidendorfer
thipeac/KlugOWT11,Michael Ott
thipeac/KlugOWT11,Tobias Klug
thipeac/LinC11,Chuen-Liang Chen
thipeac/LinC11,Chun-Chieh Lin
thipeac/JonesOAG11,Antonio González 0001
thipeac/JonesOAG11,Jaume Abella
thipeac/JonesOAG11,Michael F. P. O'Boyle
thipeac/JonesOAG11,Timothy M. Jones 0001
thipeac/RyooURKFH07,Christopher I. Rodrigues
thipeac/RyooURKFH07,Matthew I. Frank
thipeac/RyooURKFH07,Robert E. Kidd
thipeac/RyooURKFH07,Sain-Zee Ueng
thipeac/RyooURKFH07,Shane Ryoo
thipeac/RyooURKFH07,Wen-mei W. Hwu
thipeac/KhatibBPBJBKHNJ07,Axel Jantsch
thipeac/KhatibBPBJBKHNJ07,Davide Bertozzi
thipeac/KhatibBPBJBKHNJ07,Francesco Poletti
thipeac/KhatibBPBJBKHNJ07,Hasan Khalifeh
thipeac/KhatibBPBJBKHNJ07,Iyad Al Khatib
thipeac/KhatibBPBJBKHNJ07,Luca Benini
thipeac/KhatibBPBJBKHNJ07,Mazen Hajjar
thipeac/KhatibBPBJBKHNJ07,Mohamed Bechara
thipeac/KhatibBPBJBKHNJ07,Rustam Nabiev
thipeac/KhatibBPBJBKHNJ07,Sven Jonsson
thipeac/VandierendonckS09,André Seznec
thipeac/VandierendonckS09,Hans Vandierendonck
thipeac/AzevedoJMTHARV11,Alex Ramírez
thipeac/AzevedoJMTHARV11,Andrei Sergeevich Terechko
thipeac/AzevedoJMTHARV11,Arnaldo Azevedo
thipeac/AzevedoJMTHARV11,Ben H. H. Juurlink
thipeac/AzevedoJMTHARV11,Cor Meenderinck
thipeac/AzevedoJMTHARV11,Jan Hoogerbrugge
thipeac/AzevedoJMTHARV11,Mateo Valero
thipeac/AzevedoJMTHARV11,Mauricio Alvarez
thipeac/SonK07,Mahmut T. Kandemir
thipeac/SonK07,Seung Woo Son 0001
thipeac/Wilkes07,Maurice V. Wilkes
thipeac/Stenstrom07,Per Stenström
thipeac/McKee07,Sally A. McKee
thipeac/HenryN11,Leyla Nazhandali
thipeac/HenryN11,Michael B. Henry
thipeac/OsborneLCM11,José Gabriel F. Coutinho
thipeac/OsborneLCM11,Oskar Mencer
thipeac/OsborneLCM11,Wayne Luk
thipeac/OsborneLCM11,William George Osborne
thipeac/SaidaniLFTB11,Claude Tadonki
thipeac/SaidaniLFTB11,Joel Falcou
thipeac/SaidaniLFTB11,Lionel Lacassagne
thipeac/SaidaniLFTB11,Samir Bouaziz
thipeac/SaidaniLFTB11,Tarik Saidani
thipeac/BlumrichSG11,Alan Gara
thipeac/BlumrichSG11,Matthias A. Blumrich
thipeac/BlumrichSG11,Valentina Salapura
thipeac/NethercoteBM07,Doug Burger
thipeac/NethercoteBM07,Kathryn S. McKinley
thipeac/NethercoteBM07,Nicholas Nethercote
thipeac/PlishkerSKB11,Mary Kiemb
thipeac/PlishkerSKB11,Nimish Sane
thipeac/PlishkerSKB11,Shuvra S. Bhattacharyya
thipeac/PlishkerSKB11,William Plishker
thipeac/LlorenteKWH11,Andreas Herkersdorf
thipeac/LlorenteKWH11,Daniel Llorente
thipeac/LlorenteKWH11,Kimon Karras
thipeac/LlorenteKWH11,Thomas Wild
thipeac/ChenK07,Guilin Chen
thipeac/ChenK07,Mahmut T. Kandemir
thipeac/MuralidharaK11,Mahmut T. Kandemir
thipeac/MuralidharaK11,Sai Prashanth Muralidhara
thipeac/MoretoCRV11,Alex Ramírez
thipeac/MoretoCRV11,Francisco J. Cazorla
thipeac/MoretoCRV11,Mateo Valero
thipeac/MoretoCRV11,Miquel Moretó
thipeac/KoteraAETK11,Hiroaki Kobayashi
thipeac/KoteraAETK11,Hiroyuki Takizawa
thipeac/KoteraAETK11,Isao Kotera
thipeac/KoteraAETK11,Kenta Abe
thipeac/KoteraAETK11,Ryusuke Egawa
thipeac/KeramidasXK09,Georgios Keramidas
thipeac/KeramidasXK09,Polychronis Xekalakis
thipeac/KeramidasXK09,Stefanos Kaxiras
thipeac/KluyskensE09,Lieven Eeckhout
thipeac/KluyskensE09,Simon Kluyskens
thipeac/PinterW07,Israel Waldman
thipeac/PinterW07,Shlomit S. Pinter
thipeac/OliverFCA07,Diana Franklin
thipeac/OliverFCA07,Frederic T. Chong
thipeac/OliverFCA07,John Oliver
thipeac/OliverFCA07,Venkatesh Akella
thipeac/AhnP09,Minwook Ahn
thipeac/AhnP09,Yunheung Paek
thipeac/JahreN11,Lasse Natvig
thipeac/JahreN11,Magnus Jahre
thipeac/BartoliniFP11,Cosimo Antonio Prete
thipeac/BartoliniFP11,Pierfrancesco Foglia
thipeac/BartoliniFP11,Sandro Bartolini
thipeac/DevosCVS11,Dirk Stroobandt
thipeac/DevosCVS11,Harald Devos
thipeac/DevosCVS11,Ingrid Verbauwhede
thipeac/DevosCVS11,Jan Van Campenhout
thipeac/JaddoeTP11,Andy D. Pimentel
thipeac/JaddoeTP11,Mark Thompson 0001
thipeac/JaddoeTP11,Stanley Jaddoe
thipeac/IbrahimN09,Khaled Z. Ibrahim
thipeac/IbrahimN09,Smaïl Niar
thipeac/SazeidesMCK11,Andreas Moustakas
thipeac/SazeidesMCK11,Kypros Constantinides
thipeac/SazeidesMCK11,Marios Kleanthous
thipeac/SazeidesMCK11,Yiannakis Sazeides
thipeac/MahoneySBP09,Guy Bois
thipeac/MahoneySBP09,Patrice Plante
thipeac/MahoneySBP09,Patrick Mahoney
thipeac/MahoneySBP09,Yvon Savaria
thipeac/RullmannM11,Markus Rullmann
thipeac/RullmannM11,Renate Merker
thipeac/NingK07,David R. Kaeli
thipeac/NingK07,Ke Ning
thipeac/WadaHMSNSKK11,Akihiro Hayashi
thipeac/WadaHMSNSKK11,Hiroaki Shikano
thipeac/WadaHMSNSKK11,Hirofumi Nakano
thipeac/WadaHMSNSKK11,Hironori Kasahara
thipeac/WadaHMSNSKK11,Jun Shirako
thipeac/WadaHMSNSKK11,Keiji Kimura
thipeac/WadaHMSNSKK11,Takeshi Masuura
thipeac/WadaHMSNSKK11,Yasutaka Wada
thipeac/StenstromW09,David B. Whalley
thipeac/StenstromW09,Per Stenström
thipeac/RochangeS09,Christine Rochange
thipeac/RochangeS09,Pascal Sainrat
thipeac/BhadauriaMST09,Gary S. Tyson
thipeac/BhadauriaMST09,Karan Singh
thipeac/BhadauriaMST09,Major Bhadauria
thipeac/BhadauriaMST09,Sally A. McKee
thipeac/NagarajanGK09,Arvind Krishnaswamy
thipeac/NagarajanGK09,Rajiv Gupta 0001
thipeac/NagarajanGK09,Vijay Nagarajan
thipeac/HoogerbruggeT11,Andrei Sergeevich Terechko
thipeac/HoogerbruggeT11,Jan Hoogerbrugge
thipeac/FakhreddineAAJ07,Ghaffari Fakhreddine
thipeac/FakhreddineAAJ07,Maher Ben Jemaa
thipeac/FakhreddineAAJ07,Michel Auguin
thipeac/FakhreddineAAJ07,Mohamed Abid
thipeac/CanedoAS09,Arquimedes Canedo
thipeac/CanedoAS09,Ben A. Abderazek
thipeac/CanedoAS09,Masahiro Sowa
thipeac/WelcS11,Adam Welc
thipeac/WelcS11,Bratin Saha
thipeac/BosschereLMNOPRSSST07,Alex Ramírez
thipeac/BosschereLMNOPRSSST07,André Seznec
thipeac/BosschereLMNOPRSSST07,Dionisios N. Pnevmatikatos
thipeac/BosschereLMNOPRSSST07,Koen De Bosschere
thipeac/BosschereLMNOPRSSST07,Michael F. P. O'Boyle
thipeac/BosschereLMNOPRSSST07,Nacho Navarro
thipeac/BosschereLMNOPRSSST07,Olivier Temam
thipeac/BosschereLMNOPRSSST07,Pascal Sainrat
thipeac/BosschereLMNOPRSSST07,Per Stenström
thipeac/BosschereLMNOPRSSST07,Wayne Luk
thipeac/BosschereLMNOPRSSST07,Xavier Martorell
thipeac/ShiLL07,Chenghuai Lu
thipeac/ShiLL07,Hsien-Hsin S. Lee
thipeac/ShiLL07,Weidong Shi
thipeac/ChanetCMNB09,Dominique Chanet
thipeac/ChanetCMNB09,Enric Morancho
thipeac/ChanetCMNB09,Javier Cabezas
thipeac/ChanetCMNB09,Koen De Bosschere
thipeac/ChanetCMNB09,Nacho Navarro
thipeac/DevosBCCDS07,Dirk Stroobandt
thipeac/DevosBCCDS07,Erik H. D'Hollander
thipeac/DevosBCCDS07,Harald Devos
thipeac/DevosBCCDS07,Jan M. Van Campenhout
thipeac/DevosBCCDS07,Kristof Beyls
thipeac/DevosBCCDS07,Mark Christiaens
thipeac/Aggarwal09,Aneesh Aggarwal
jgtools/Frisvad12,Jeppe Revall Frisvad
jgtools/SeoA12,Jaewoo Seo
jgtools/SeoA12,Ken Anjyo
jgtools/SchretterKD12,Colas Schretter
jgtools/SchretterKD12,Leif Kobbelt
jgtools/SchretterKD12,Paul-Olivier Dehaye
jgtools/AnjyoTL12,Hideki Todo
jgtools/AnjyoTL12,John P. Lewis
jgtools/AnjyoTL12,Ken Anjyo
jgtools/ManoharanR13,Bimal Kumar Ray
jgtools/ManoharanR13,Prabukumar Manoharan
jgtools/LeBlancSAB12,Andrew Shouldice
jgtools/LeBlancSAB12,Dirk V. Arnold
jgtools/LeBlancSAB12,Graham LeBlanc
jgtools/LeBlancSAB12,Stephen Brooks
jgtools/IwanickiS12,Michal Iwanicki
jgtools/IwanickiS12,Peter-Pike J. Sloan
jgtools/Tarini12,Marco Tarini
jgtools/ChampagnatS12,Frédéric Champagnat
jgtools/ChampagnatS12,Yves Le Sant
jgtools/Pfeifle12,Ron Pfeifle
jgtools/UpchurchD12,Mathieu Desbrun
jgtools/UpchurchD12,Paul Upchurch
jgtools/McEwanSRG12,David Sheets
jgtools/McEwanSRG12,Ian McEwan
jgtools/McEwanSRG12,Mark Richardson
jgtools/McEwanSRG12,Stefan Gustavson
jgtools/Pobegailo13,Alexander P. Pobegailo
jgtools/MousasNA13,Christos Mousas
jgtools/MousasNA13,Christos-Nikolaos Anagnostopoulos
jgtools/MousasNA13,Paul Newbury
jgtools/Jacobson13,Alec Jacobson
jgtools/Ray12,Bimal Kumar Ray
jgtools/YuanNS12,Derek Nowrouzezahrai
jgtools/YuanNS12,Hong Yuan
jgtools/YuanNS12,Peter-Pike J. Sloan
jgtools/NunesVRFT12,Alberto Raposo
jgtools/NunesVRFT12,Alexandre Valdetaro
jgtools/NunesVRFT12,Bruno Feijó
jgtools/NunesVRFT12,Gustavo N. Nunes
jgtools/NunesVRFT12,Rodrigo de Toledo
jgtools/FrogleyJ13,D. Frogley
jgtools/FrogleyJ13,M. D. Jones
jgtools/Kenwright12,Ben Kenwright
jgtools/VoSSP12,Cláudio T. Silva
jgtools/VoSSP12,Huy T. Vo
jgtools/VoSSP12,Luiz F. Scheidegger
jgtools/VoSSP12,Valerio Pascucci
jods/SaboudM08,Enrico Motta
jods/SaboudM08,Marta Sabou
jods/SaboudM08,Mathieu d'Aquin
jods/PerniciS03,Barbara Pernici
jods/PerniciS03,Monica Scannapieco
jods/WuLCX11,Bo Chen
jods/WuLCX11,Huayu Wu 0001
jods/WuLCX11,Liang Xu
jods/WuLCX11,Tok Wang Ling
jods/RoserB08,Bernhard Bauer
jods/RoserB08,Stephan Roser
jods/SimperlS07,David Schlangen
jods/SimperlS07,Elena Paslaru Bontas Simperl
jods/GeorgeS06,Betsy George
jods/GeorgeS06,Shashi Shekhar
jods/MeoQTU07,Domenico Ursino
jods/MeoQTU07,Giorgio Terracina
jods/MeoQTU07,Giovanni Quattrone
jods/MeoQTU07,Pasquale De Meo
jods/YangK03,Guizhen Yang
jods/YangK03,Michael Kifer
jods/BettiniWJ05,Claudio Bettini
jods/BettiniWJ05,Sushil Jajodia
jods/BettiniWJ05,Xiaoyang Sean Wang
jods/DasiopoulouKS09,Ioannis Kompatsiaris
jods/DasiopoulouKS09,Michael G. Strintzis
jods/DasiopoulouKS09,Stamatia Dasiopoulou
jods/Piprani08,Baba Piprani
jods/JarrarDM03,Jan Demey
jods/JarrarDM03,Mustafa Jarrar
jods/JarrarDM03,Robert Meersman
jods/VolzSM05,Boris Motik
jods/VolzSM05,Raphael Volz
jods/VolzSM05,Steffen Staab
jods/RinderleR07,Manfred Reichert
jods/RinderleR07,Stefanie Rinderle
jods/CleveMH11,Anthony Cleve
jods/CleveMH11,Jean-Luc Hainaut
jods/CleveMH11,Jean-Roch Meurisse
jods/KarabatisCJLALF09,George Karabatis
jods/KarabatisCJLALF09,Mikael Lindvall
jods/KarabatisCJLALF09,Monish Advani
jods/KarabatisCJLALF09,Raimund L. Feldmann
jods/KarabatisCJLALF09,Tania Lobo
jods/KarabatisCJLALF09,Vandana Pursnani Janeja
jods/KarabatisCJLALF09,Zhiyuan Chen 0003
jods/ChungM05,Dennis McLeod
jods/ChungM05,Seokkyung Chung
jods/EuzenatMSSS11,Christian Meilicke
jods/EuzenatMSSS11,Cássia Trojahn dos Santos
jods/EuzenatMSSS11,Heiner Stuckenschmidt
jods/EuzenatMSSS11,Jérôme Euzenat
jods/EuzenatMSSS11,Pavel Shvaiko
jods/GugliottaDCTGDGRRS08,Alessio Gugliotta
jods/GugliottaDCTGDGRRS08,John Domingue
jods/GugliottaDCTGDGRRS08,Leticia Gutiérrez-Villarías
jods/GugliottaDCTGDGRRS08,Liliana Cabral
jods/GugliottaDCTGDGRRS08,Marc Richardson
jods/GugliottaDCTGDGRRS08,Mary Rowlatt
jods/GugliottaDCTGDGRRS08,Rob Davies
jods/GugliottaDCTGDGRRS08,Sandra Stincic
jods/GugliottaDCTGDGRRS08,Stefania Galizia
jods/GugliottaDCTGDGRRS08,Vlad Tanasescu
jods/PirroRT09,Domenico Talia
jods/PirroRT09,Giuseppe Pirrò
jods/PirroRT09,Massimo Ruffolo
jods/SegevG07,Avigdor Gal
jods/SegevG07,Aviv Segev
jods/AlbertoniM08,Monica De Martino
jods/AlbertoniM08,Riccardo Albertoni
jods/JaudoinFPT09,Farouk Toumani
jods/JaudoinFPT09,Frédéric Flouvat
jods/JaudoinFPT09,Hélène Jaudoin
jods/JaudoinFPT09,Jean-Marc Petit
jods/MecellaSVBCB03,Antonino Virgillito
jods/MecellaSVBCB03,Carlo Batini
jods/MecellaSVBCB03,Massimo Mecella
jods/MecellaSVBCB03,Monica Scannapieco
jods/MecellaSVBCB03,Roberto Baldoni
jods/MecellaSVBCB03,Tiziana Catarci
jods/GrozaHD11,Siegfried Handschuh
jods/GrozaHD11,Stefan Decker
jods/GrozaHD11,Tudor Groza
jods/TournairePRT11,Alexandre Termier
jods/TournairePRT11,Jean-Marc Petit
jods/TournairePRT11,Marie-Christine Rousset
jods/TournairePRT11,Rémi Tournaire
jods/AtzeniBBG09,Francesca Bugiotti
jods/AtzeniBBG09,Giorgio Gianforme
jods/AtzeniBBG09,Luigi Bellomarini
jods/AtzeniBBG09,Paolo Atzeni
jods/SaisPR09,Fatiha Saïs
jods/SaisPR09,Marie-Christine Rousset
jods/SaisPR09,Nathalie Pernelle
jods/BrambillaCCCVFTT08,Andrea Turati
jods/BrambillaCCCVFTT08,Christina Tziviskou
jods/BrambillaCCCVFTT08,Dario Cerizza
jods/BrambillaCCCVFTT08,Emanuele Della Valle
jods/BrambillaCCCVFTT08,Federico Michele Facca
jods/BrambillaCCCVFTT08,Irene Celino
jods/BrambillaCCCVFTT08,Marco Brambilla 0001
jods/BrambillaCCCVFTT08,Stefano Ceri
jods/PoggiLCGLR08,Antonella Poggi
jods/PoggiLCGLR08,Diego Calvanese
jods/PoggiLCGLR08,Domenico Lembo
jods/PoggiLCGLR08,Giuseppe De Giacomo
jods/PoggiLCGLR08,Maurizio Lenzerini
jods/PoggiLCGLR08,Riccardo Rosati
jods/SureAS03,Jürgen Angele
jods/SureAS03,Steffen Staab
jods/SureAS03,York Sure
jods/PinetS09,François Pinet
jods/PinetS09,Michel Schneider
jods/Pierra08,Guy Pierra
jods/KodaliFW05,Csilla Farkas
jods/KodaliFW05,Duminda Wijesekera
jods/KodaliFW05,Naren Kodali
jods/LeeSL05,Herman Lam
jods/LeeSL05,Minsoo Lee
jods/LeeSL05,Stanley Y. W. Su
jods/BrownP09,Hye-Young Paik
jods/BrownP09,Ross Brown
jods/SkoutasSS09,Alkis Simitsis
jods/SkoutasSS09,Dimitrios Skoutas
jods/SkoutasSS09,Timos K. Sellis
jods/PapastefanatosVSV09,Alkis Simitsis
jods/PapastefanatosVSV09,George Papastefanatos
jods/PapastefanatosVSV09,Panos Vassiliadis
jods/PapastefanatosVSV09,Yannis Vassiliou
jods/TroyerBK09,Frederic Kleinermann
jods/TroyerBK09,Olga De Troyer
jods/TroyerBK09,Wesley Bille
jods/NebotLPAP09,Juan Manuel Pérez-Martínez
jods/NebotLPAP09,María José Aramburu
jods/NebotLPAP09,Rafael Berlanga Llavori
jods/NebotLPAP09,Torben Bach Pedersen
jods/NebotLPAP09,Victoria Nebot
jods/GiunchigliaYS07,Fausto Giunchiglia
jods/GiunchigliaYS07,Mikalai Yatskevich
jods/GiunchigliaYS07,Pavel Shvaiko
jods/Mawlood-YunisWS11,Abdul-Rahman Mawlood-Yunis
jods/Mawlood-YunisWS11,Michael Weiss 0001
jods/Mawlood-YunisWS11,Nicola Santoro
jods/DouMQ05,Dejing Dou
jods/DouMQ05,Drew V. McDermott
jods/DouMQ05,Peishen Qi
jods/CookeGN05,Alasdair J. G. Gray
jods/CookeGN05,Andrew W. Cooke
jods/CookeGN05,Werner Nutt
jods/HurtadoPW08,Alexandra Poulovassilis
jods/HurtadoPW08,Carlos A. Hurtado
jods/HurtadoPW08,Peter T. Wood
jods/TzitzikasAS05,Anastasia Analyti
jods/TzitzikasAS05,Nicolas Spyratos
jods/TzitzikasAS05,Yannis Tzitzikas
jods/KalfoglouS03,W. Marco Schorlemmer
jods/KalfoglouS03,Yannis Kalfoglou
jods/BorgidaS03,Alexander Borgida
jods/BorgidaS03,Luciano Serafini
jods/BanerjeeD09,Karen C. Davis
jods/BanerjeeD09,Sandipto Banerjee
jods/BrunzelS08,Marko Brunzel
jods/BrunzelS08,Myra Spiliopoulou
jods/NiinimakiN09,Marko Niinimäki
jods/NiinimakiN09,Tapio Niemi
jods/Majkic09,Zoran Majkic
jods/FletcherW09,Catharine M. Wyss
jods/FletcherW09,George H. L. Fletcher
jods/SantosMQV08,Cássia Trojahn dos Santos
jods/SantosMQV08,Márcia Cristina Moraes
jods/SantosMQV08,Paulo Quaresma
jods/SantosMQV08,Renata Vieira
jods/CaliLPS09,Andrea Calì
jods/CaliLPS09,Heiner Stuckenschmidt
jods/CaliLPS09,Livia Predoiu
jods/CaliLPS09,Thomas Lukasiewicz
jods/LamSPV08,Derek H. Sleeman
jods/LamSPV08,Jeff Z. Pan
jods/LamSPV08,Joey Sik Chun Lam
jods/LamSPV08,Wamberto Weber Vasconcelos
jods/GiorginiMNS03,Eleonora Nicchiarelli
jods/GiorginiMNS03,John Mylopoulos
jods/GiorginiMNS03,Paolo Giorgini
jods/GiorginiMNS03,Roberto Sebastiani
jods/MorkSRKW08,Arnon Rosenthal
jods/MorkSRKW08,Chris Wolf
jods/MorkSRKW08,Joel Korb
jods/MorkSRKW08,Len Seligman
jods/MorkSRKW08,Peter Mork
jods/HerschelHBC06,Christian Czekay
jods/HerschelHBC06,Jens Bleiholder
jods/HerschelHBC06,Ralf Heese
jods/HerschelHBC06,Sven Herschel
jods/WangP08,Jeff Z. Pan
jods/WangP08,Shenghui Wang
jods/ParsonsW03,Jeffrey Parsons
jods/ParsonsW03,Yair Wand
fomac/HolzlG16,Matthias M. Hölzl
fomac/HolzlG16,Thomas Gabor
fomac/SteffenN16,Bernhard Steffen
fomac/SteffenN16,Stefan Naujokat
fomac/Lindvall0TDH16,Martin Becker 0002
fomac/Lindvall0TDH16,Mikael Lindvall
fomac/Lindvall0TDH16,Mike Hinchey
fomac/Lindvall0TDH16,Slawomir Duszynski
fomac/Lindvall0TDH16,Vasil L. Tenev
fomac/Tripakis16,Stavros Tripakis
fomac/Felderer16,Michael Felderer
fomac/CelebicBF16,Boban Celebic
fomac/CelebicBF16,Michael Felderer
fomac/CelebicBF16,Ruth Breu
fomac/Margaria16,Tiziana Margaria
fomac/BubelDHJOSY16,Einar Broch Johnsen
fomac/BubelDHJOSY16,Ferruccio Damiani
fomac/BubelDHJOSY16,Ina Schaefer
fomac/BubelDHJOSY16,Ingrid Chieh Yu
fomac/BubelDHJOSY16,Olaf Owe
fomac/BubelDHJOSY16,Reiner Hähnle
fomac/BubelDHJOSY16,Richard Bubel
fomac/LegayT16,Axel Legay
fomac/LegayT16,Louis-Marie Traonouez
fomac/Rensink16,Arend Rensink
fomac/BelznerHKW16,Lenz Belzner
fomac/BelznerHKW16,Martin Wirsing
fomac/BelznerHKW16,Matthias M. Hölzl
fomac/BelznerHKW16,Nora Koch
fomac/HavelundK16,Klaus Havelund
fomac/HavelundK16,Rahul Kumar
fomac/Steffen16,Bernhard Steffen
tdhms/LiuGWY14,Ching-Nung Yang
tdhms/LiuGWY14,Chuan Kun Wu
tdhms/LiuGWY14,Feng Liu 0001
tdhms/LiuGWY14,Teng Guo
tdhms/ChaK10,Byung-Ho Cha
tdhms/ChaK10,C.-C. Jay Kuo
tdhms/Yamaguchi14,Yasushi Yamaguchi
tdhms/ItoK10,Hitoshi Kiya
tdhms/ItoK10,Izumi Ito
tdhms/LiuYLW14,Chuan Kun Wu
tdhms/LiuYLW14,Feng Liu 0001
tdhms/LiuYLW14,Peng Li
tdhms/LiuYLW14,Wei Qi Yan 0001
tdhms/MeerwaldU12,Andreas Uhl
tdhms/MeerwaldU12,Peter Meerwald
tdhms/XuanSCTNT09,Guorong Xuan
tdhms/XuanSCTNT09,Jianzhong Teng
tdhms/XuanSCTNT09,Peiqi Chai
tdhms/XuanSCTNT09,Xuefeng Tong
tdhms/XuanSCTNT09,Yun Q. Shi
tdhms/XuanSCTNT09,Zhicheng Ni
tdhms/PiperS09,Angela Piper
tdhms/PiperS09,Reihaneh Safavi-Naini
tdhms/EchizenYG12,Isao Echizen
tdhms/EchizenYG12,Seiichi Gohshi
tdhms/EchizenYG12,Takayuki Yamada
tdhms/Vila-ForcenVKPP08,Fernando Pérez-González
tdhms/Vila-ForcenVKPP08,José-Emilio Vila-Forcén
tdhms/Vila-ForcenVKPP08,Oleksiy J. Koval
tdhms/Vila-ForcenVKPP08,Sviatoslav Voloshynovskiy
tdhms/Vila-ForcenVKPP08,Thierry Pun
tdhms/YanWESN14,Ahmed A. Abd El-Latif
tdhms/YanWESN14,Jianzhi Sang
tdhms/YanWESN14,Shen Wang
tdhms/YanWESN14,Xiamu Niu
tdhms/YanWESN14,Xuehu Yan
tdhms/EchizenYG15,Isao Echizen
tdhms/EchizenYG15,Seiichi Gohshi
tdhms/EchizenYG15,Takayuki Yamada
tdhms/BierbrauerF08,Jessica J. Fridrich
tdhms/BierbrauerF08,Jürgen Bierbrauer
tdhms/JiangHT09,Anthony T. S. Ho
tdhms/JiangHT09,Helen Treharne
tdhms/JiangHT09,Weina Jiang
tdhms/ZmudzinskiSB12,Martin Steinebach
tdhms/ZmudzinskiSB12,Moazzam Butt
tdhms/ZmudzinskiSB12,Sascha Zmudzinski
tdhms/LiuYZG11,Hongxun Yao
tdhms/LiuYZG11,Shaohui Liu
tdhms/LiuYZG11,Shengping Zhang
tdhms/LiuYZG11,Wen Gao 0001
tdhms/LaadjelBKNY10,Ahmed Bouridane
tdhms/LaadjelBKNY10,Fatih Kurugollu
tdhms/LaadjelBKNY10,Moussadek Laadjel
tdhms/LaadjelBKNY10,Omar Nibouche
tdhms/LaadjelBKNY10,WeiQi Yan 0001
tdhms/SubramanyamE11,A. Venkata Subramanyam
tdhms/SubramanyamE11,Sabu Emmanuel
tdhms/WuC12,Hao-Tian Wu
tdhms/WuC12,Yiu-ming Cheung
tdhms/YangJK11,Alex C. Kot
tdhms/YangJK11,Huijuan Yang
tdhms/YangJK11,Xudong Jiang
