,key,author
92,nooj/MirtoC17,Emanuele Cipolla
93,nooj/MirtoC17,Ignazio Mauro Mirto
94,nooj/BourahmaMMM18,Abdelaziz Mouloudi
95,nooj/BourahmaMMM18,Mohammed Mourchid
96,nooj/BourahmaMMM18,Said Bourahma
97,nooj/BourahmaMMM18,Samir Mbarki
98,nooj/Duran16,Maximiliano Duran
99,nooj/EssidF18,HÃ©la Fehri
100,nooj/EssidF18,Mariem Essid
101,nooj/Cheikhrouhou17,Hajer Cheikhrouhou
102,nooj/MotaCB17,Anabela Barreiro
103,nooj/MotaCB17,Cristina Mota
104,nooj/MotaCB17,LucÃ­lia Chacoto
105,nooj/HammoudaH15,Kais Haddar
106,nooj/HammoudaH15,Nadia Ghezaiel Hammouda
107,nooj/Koza16,Walter Koza
108,nooj/Duran15,Maximiliano Duran
109,nooj/Yang17,Tong Yang
110,nooj/LysySH16,Hanna Stanislavenka
111,nooj/LysySH16,Stanislau Lysy
112,nooj/LysySH16,Yury Hetsevich
113,nooj/Cheikhrouhou16,Hajer Cheikhrouhou
114,nooj/Pelosi15,Serena Pelosi
115,nooj/ScoppettaAMLCM17,Anastasia Alfieri
116,nooj/ScoppettaAMLCM17,Annalisa Colasanto
117,nooj/ScoppettaAMLCM17,Carmela Scoppetta
118,nooj/ScoppettaAMLCM17,Flavio Merenda
119,nooj/ScoppettaAMLCM17,Raffaele Manna
120,nooj/ScoppettaAMLCM17,Sonia Lay
121,nooj/KarlBR18,Bozo Bekavac
122,nooj/KarlBR18,Dario Karl
123,nooj/KarlBR18,Ida Raffaelli
124,nooj/Duran18,Maximiliano Duran
125,nooj/Langella16,Alberto Maria Langella
126,nooj/NajarMG16,Dhekra Najar
127,nooj/NajarMG16,Henda Ben GhÃ©zala
128,nooj/NajarMG16,Slim Mesfar
129,nooj/RodrigoRA18,Andrea Rodrigo
130,nooj/RodrigoRA18,Paula Alonso
131,nooj/RodrigoRA18,Silvia Reyes
132,nooj/HetsevichVKRL16,Evgenia Kachan
133,nooj/HetsevichVKRL16,Ivan Reentovich
134,nooj/HetsevichVKRL16,Stanislau Lysy
135,nooj/HetsevichVKRL16,Valery Varanovich
136,nooj/HetsevichVKRL16,Yury Hetsevich
137,nooj/VolpeEE17,Annibale Elia
138,nooj/VolpeEE17,Francesca Esposito
139,nooj/VolpeEE17,Maddalena della Volpe
140,nooj/SojatKF18,Kresimir Sojat
141,nooj/SojatKF18,Kristina Kocijan
142,nooj/SojatKF18,Matea Filko
143,nooj/BourahmaMMM17,Abdelaziz Mouloudi
144,nooj/BourahmaMMM17,Mohammed Mourchid
145,nooj/BourahmaMMM17,Said Bourahma
146,nooj/BourahmaMMM17,Samir Mbarki
147,nooj/MotaC0B15,Anabela Barreiro
148,nooj/MotaC0B15,Cristina Mota
149,nooj/MotaC0B15,Francisco Raposo 0001
150,nooj/MotaC0B15,Paula Carvalho
151,nooj/Silberztein18,Max Silberztein
152,nooj/KocijanJL16,Kristina Kocijan
153,nooj/KocijanJL16,Marijana Janjic
154,nooj/KocijanJL16,Sara Librenjak
155,nooj/Parisi16,Francesca Parisi
156,nooj/RhaziB17,Ali Boulaalam
157,nooj/RhaziB17,Azeddin Rhazi
158,nooj/MonteleoneGM17,Alessandro Maisto
159,nooj/MonteleoneGM17,Mario Monteleone
160,nooj/MonteleoneGM17,Raffaele Guarasci
161,nooj/Blanco15,Xavier Blanco
162,nooj/HetsevichKKDZS17,Alena Kryvaltsevich
163,nooj/HetsevichKKDZS17,Aliaksandr Scarbakou
164,nooj/HetsevichKKDZS17,Anastasija Drahun
165,nooj/HetsevichKKDZS17,Jauhienija Zianouka
166,nooj/HetsevichKKDZS17,Nastassia Kazlouskaja
167,nooj/HetsevichKKDZS17,Yuras Hetsevich
168,nooj/Monteleone15,Mario Monteleone
169,nooj/Monteleone18,Mario Monteleone
170,nooj/Yamouni15,Farida Yamouni
171,nooj/SeidehFH15,HÃ©la Fehri
172,nooj/SeidehFH15,Kais Haddar
173,nooj/SeidehFH15,Mohamed Aly Fall Seideh
174,nooj/BorodinaH15,Julia Borodina
175,nooj/BorodinaH15,Yuras Hetsevich
176,nooj/RodrigoRB17,Andrea Rodrigo
177,nooj/RodrigoRB17,Rodolfo Bonino
178,nooj/RodrigoRB17,Silvia Reyes
179,nooj/SojatKB17,Bozo Bekavac
180,nooj/SojatKB17,Kresimir Sojat
181,nooj/SojatKB17,Kristina Kocijan
182,nooj/EspositoV16,Francesca Esposito
183,nooj/EspositoV16,Maddalena della Volpe
184,nooj/ReentovichHVKKT15,Angelina Tretyak
185,nooj/ReentovichHVKKT15,Evgenia Kachan
186,nooj/ReentovichHVKKT15,Hanna Kozlovskaya
187,nooj/ReentovichHVKKT15,Ivan Reentovich
188,nooj/ReentovichHVKKT15,Uladzimir Koshchanka
189,nooj/ReentovichHVKKT15,Valery Voronovich
190,nooj/ReentovichHVKKT15,Yuras Hetsevich
191,nooj/Monteleone16,Mario Monteleone
192,nooj/KocijanBM18,Kristina Kocijan
193,nooj/KocijanBM18,Linda Mijic
194,nooj/KocijanBM18,Maria Pia di Buono
195,nooj/KocijanL15,Kristina Kocijan
196,nooj/KocijanL15,Sara Librenjak
197,nooj/ParisiC18,Francesca Parisi
198,nooj/ParisiC18,Maria Teresa Chiaravalloti
199,issac/Moses81,Joel Moses
200,issac/Krone16,Robert Krone
201,issac/Kajler92,Norbert Kajler
202,issac/RobinsonC06,Eric Robinson
203,issac/RobinsonC06,Gene Cooperman
204,issac/BelkovL91,Alexander A. Bel'kov
205,issac/BelkovL91,Alexander V. Lanyov
206,issac/SextonS06,Alan P. Sexton
207,issac/SextonS06,Volker Sorge
208,issac/BurgisserS07,Peter BÃ¼rgisser
209,issac/BurgisserS07,Peter Scheiblechner
210,issac/DahanS04,Xavier Dahan
211,issac/DahanS04,Ã‰ric Schost
212,issac/Poulisse06,Hennie Poulisse
213,issac/ZhouW06,Franz Winkler 0001
214,issac/ZhouW06,Meng Zhou 0001
215,issac/DinYZ18,Lihong Zhi
216,issac/DinYZ18,Mohab Safey El Din
217,issac/DinYZ18,Zhi-Hong Yang
218,issac/BiniP90,Dario Bini
219,issac/BiniP90,Victor Y. Pan
220,issac/Parker17,Richard Parker
221,issac/IshikawaK12,Christoph Koutschan
222,issac/IshikawaK12,Masao Ishikawa
223,issac/SteinZ91,Andreas Stein
224,issac/SteinZ91,Horst GÃ¼nter Zimmer
225,issac/Teitelbaum88,Jeremy Teitelbaum
226,issac/WuR07,Greg Reid
227,issac/WuR07,Wenyuan Wu
228,issac/Shackle89,J. Shackle
229,issac/MouB18,Chenqi Mou
230,issac/MouB18,Yang Bai
231,issac/Langemyr91,Lars Langemyr
232,issac/BuseD07,Laurent BusÃ©
233,issac/BuseD07,Marc Dohm
234,issac/AllamigeonGS16,Mateusz Skomra
235,issac/AllamigeonGS16,StÃ©phane Gaubert
236,issac/AllamigeonGS16,Xavier Allamigeon
237,issac/KapurW90,Deepak Kapur
238,issac/KapurW90,H. K. Wan
239,issac/NeigerV17,Thi Xuan Vu
240,issac/NeigerV17,Vincent Neiger
241,issac/Hoeij98,Mark van Hoeij
242,issac/BayerS86,David Bayer
243,issac/BayerS86,Michael Eugene Stillman
244,issac/ShaoL18,Changpeng Shao
245,issac/ShaoL18,Hongbo Li
246,issac/Biscani12,Francesco Biscani
247,issac/FriedmanWW76,Daniel P. Friedman
248,issac/FriedmanWW76,David S. Wise
249,issac/FriedmanWW76,Mitchell Wand
250,issac/Fogelholm81,Rabbe Fogelholm
251,issac/GiesbrechtHL18,George Labahn
252,issac/GiesbrechtHL18,Joseph Haraldson
253,issac/GiesbrechtHL18,Mark Giesbrecht
254,issac/Purtilo86,James M. Purtilo
255,issac/JeannerodNSV16,Claude-Pierre Jeannerod
256,issac/JeannerodNSV16,Gilles Villard
257,issac/JeannerodNSV16,Vincent Neiger
258,issac/JeannerodNSV16,Ã‰ric Schost
259,issac/MoritsuguK99,Kazuko Kuriyama
260,issac/MoritsuguK99,Schuichi Moritsugu
261,issac/Davenport92,James H. Davenport
262,issac/Binder96,Franz Binder
263,issac/Hitz05,Markus A. Hitz
264,issac/LiaoF95,Hsin-Chao Liao
265,issac/LiaoF95,Richard J. Fateman
266,issac/Saunders81,B. David Saunders
267,issac/CollinsK92,George E. Collins
268,issac/CollinsK92,Werner Krandick
269,issac/GuidolinDRV19,Ana Romero
270,issac/GuidolinDRV19,Andrea Guidolin
271,issac/GuidolinDRV19,Francesco Vaccarino
272,issac/GuidolinDRV19,Jose DivasÃ³n
273,issac/Grigoriev96,Dima Grigoriev
274,issac/BoulierL00,FranÃ§ois Boulier
275,issac/BoulierL00,FranÃ§ois Lemaire
276,issac/BostanCS05,Alin Bostan
277,issac/BostanCS05,Bruno Salvy
278,issac/BostanCS05,Thomas Cluzeau
279,issac/Dooley98,Samuel S. Dooley
280,issac/PaourisPR19,Grigoris Paouris
281,issac/PaourisPR19,J. Maurice Rojas
282,issac/PaourisPR19,Kaitlyn Phillipson
283,issac/DiekertMW15,Alexei G. Myasnikov
284,issac/DiekertMW15,Armin WeiÃŸ
285,issac/DiekertMW15,Volker Diekert
286,issac/Schicho98,Josef Schicho
287,issac/StrzebonskiT12,Adam W. Strzebonski
288,issac/StrzebonskiT12,Elias P. Tsigaridas
289,issac/Verschelde04,Jan Verschelde
290,issac/DebeerstHK08,Mark van Hoeij
291,issac/DebeerstHK08,Ruben Debeerst
292,issac/DebeerstHK08,Wolfram Koepf
293,issac/Franova90,Marta FranovÃ¡
294,issac/BinderAENM00,Christof NÃ¶bauer
295,issac/BinderAENM00,Erhard Aichinger
296,issac/BinderAENM00,Franz Binder
297,issac/BinderAENM00,JÃ¼rgen Ecker
298,issac/BinderAENM00,Peter Mayr
299,issac/LiskaS91,Mikhail Yu. Shashkov
300,issac/LiskaS91,Richard Liska
301,issac/BasuPR98,Marie-FranÃ§oise Roy
302,issac/BasuPR98,Richard Pollack
303,issac/BasuPR98,Saugata Basu
304,issac/Mandache94,Ana Maria Mandache
305,issac/GalligoP05,AndrÃ© Galligo
306,issac/GalligoP05,Jean Pascal Pavone
307,issac/SasakiY98,Satoshi Yamaguchi
308,issac/SasakiY98,Tateaki Sasaki
309,issac/Gathen09,Joachim von zur Gathen
310,issac/BabaiBR93,Daniel N. Rockmore
311,issac/BabaiBR93,LÃ¡szlÃ³ Babai
312,issac/BabaiBR93,Robert Beals
313,issac/Sekigawa07a,Hiroshi Sekigawa
314,issac/GuoDZ13,Lihong Zhi
315,issac/GuoDZ13,Mohab Safey El Din
316,issac/GuoDZ13,Qingdong Guo
317,issac/Fateman81b,Richard J. Fateman
318,issac/KuhnMO92,Friedrich Otto
319,issac/KuhnMO92,Klaus Madlener
320,issac/KuhnMO92,Norbert Kuhn
321,issac/EmirisR94,Ashutosh Rege
322,issac/EmirisR94,Ioannis Z. Emiris
323,issac/SurguladzeS91,Levan R. Surguladze
324,issac/SurguladzeS91,Mark A. Samuel
325,issac/GebauerKWW91,B. Wall
326,issac/GebauerKWW91,Franz Winkler 0001
327,issac/GebauerKWW91,Michael Kalkbrener
328,issac/GebauerKWW91,R. Gebauer
329,issac/Le02,Ha Q. Le
330,issac/BannwarthD15,Ivan Bannwarth
331,issac/BannwarthD15,Mohab Safey El Din
332,issac/LiYZ10,Lihong Zhi
333,issac/LiYZ10,Zhengfeng Yang
334,issac/LiYZ10,Zijia Li
335,issac/ChengHTZZ07,Emmanuel ThomÃ©
336,issac/ChengHTZZ07,Eugene V. Zima
337,issac/ChengHTZZ07,Guillaume Hanrot
338,issac/ChengHTZZ07,Howard Cheng
339,issac/ChengHTZZ07,Paul Zimmermann
340,issac/Cox07,David A. Cox
341,issac/PohstY81,David Y. Y. Yun
342,issac/PohstY81,Michael E. Pohst
343,issac/Moody11,Dustin Moody
344,issac/Levin13,Alexander B. Levin
345,issac/LuksRW94,Charles R. B. Wright
346,issac/LuksRW94,Eugene M. Luks
347,issac/LuksRW94,Ferenc Rakoczi
348,issac/KaltofenYZ06,Erich Kaltofen
349,issac/KaltofenYZ06,Lihong Zhi
350,issac/KaltofenYZ06,Zhengfeng Yang
351,issac/DumasK14,Erich Kaltofen
352,issac/DumasK14,Jean-Guillaume Dumas
353,issac/Gonzalez-Vega91a,Laureano GonzÃ¡lez-Vega
354,issac/Hoeven97,Joris van der Hoeven
355,issac/JohanssonKM13,Fredrik Johansson 0001
356,issac/JohanssonKM13,Manuel Kauers
357,issac/JohanssonKM13,Marc Mezzarobba
358,issac/BostanCSLS07,Alin Bostan
359,issac/BostanCSLS07,Bruno Salvy
360,issac/BostanCSLS07,FrÃ©dÃ©ric Chyzak
361,issac/BostanCSLS07,GrÃ©goire Lecerf
362,issac/BostanCSLS07,Ã‰ric Schost
363,issac/KauersS11,Carsten Schneider
364,issac/KauersS11,Manuel Kauers
365,issac/BrightS11,Arne Storjohann
366,issac/BrightS11,Curtis Bright
367,issac/BigattiR06,Anna Maria Bigatti
368,issac/BigattiR06,Lorenzo Robbiano
369,issac/ReidW00,Allan D. Wittkopf
370,issac/ReidW00,Gregory J. Reid
371,issac/EdelsbrunnerP88,Franco P. Preparata
372,issac/EdelsbrunnerP88,Herbert Edelsbrunner
373,issac/BeaumontBD03,James C. Beaumont
374,issac/BeaumontBD03,James H. Davenport
375,issac/BeaumontBD03,Russell J. Bradford
376,issac/GrigorievS05,Dima Grigoriev
377,issac/GrigorievS05,Fritz Schwarz
378,issac/BaazL90,Alexander Leitsch
379,issac/BaazL90,Matthias Baaz
380,issac/Fitch81,John P. Fitch
381,issac/MonaganP09,Michael B. Monagan
382,issac/MonaganP09,Roman Pearce
383,issac/HenrionND18,Didier Henrion
384,issac/HenrionND18,Mohab Safey El Din
385,issac/HenrionND18,Simone Naldi
386,issac/Zippel91,Richard Zippel
387,issac/GrigorievK91,Dima Grigoriev
388,issac/GrigorievK91,Marek Karpinski
389,issac/SunWMZ12,Dingkang Wang
390,issac/SunWMZ12,Xiaodong Ma
391,issac/SunWMZ12,Yang Zhang
392,issac/SunWMZ12,Yao Sun
393,issac/Kauers14,Manuel Kauers
394,issac/Monagan05,Michael B. Monagan
395,issac/GrigorievKO92,Andrew M. Odlyzko
396,issac/GrigorievKO92,Dima Grigoriev
397,issac/GrigorievKO92,Marek Karpinski
398,issac/Valibouze89,Annick Valibouze
399,issac/KleczkaK91,E. Kreuzer
400,issac/KleczkaK91,W. Kleczka
401,issac/KrishnanM95,Dinesh Manocha
402,issac/KrishnanM95,Shankar Krishnan
403,issac/AbramovK91,K. Yu. Kvashenko
404,issac/AbramovK91,Sergei A. Abramov
405,issac/ButlerC88,Gregory Butler
406,issac/ButlerC88,John J. Cannon
407,issac/Larrieu17,Robin Larrieu
408,issac/DingleF94,Adam Dingle
409,issac/DingleF94,Richard J. Fateman
410,issac/YangZZ13,Lihong Zhi
411,issac/YangZZ13,Yijun Zhu
412,issac/YangZZ13,Zhengfeng Yang
413,issac/Poloskov98,Igor E. Poloskov
414,issac/NabeshimaOT16,Katsusuke Nabeshima
415,issac/NabeshimaOT16,Katsuyoshi Ohara
416,issac/NabeshimaOT16,Shinichi Tajima
417,issac/Fitch81a,John P. Fitch
418,issac/BarkatouM15,Moulay A. Barkatou
419,issac/BarkatouM15,Suzy S. Maddah
420,issac/KoseleffRT15,Cuong Tran 0004
421,issac/KoseleffRT15,Fabrice Rouillier
422,issac/KoseleffRT15,Pierre-Vincent Koseleff
423,issac/CorlessR07,Nargol Rezvani
424,issac/CorlessR07,Robert M. Corless
425,issac/XuBY18,Chee Yap
426,issac/XuBY18,Juan Xu
427,issac/XuBY18,Michael A. Burr
428,issac/GaroufalidisK12,Christoph Koutschan
429,issac/GaroufalidisK12,Stavros Garoufalidis
430,issac/ImamogluKY18,Erdal Imamoglu
431,issac/ImamogluKY18,Erich L. Kaltofen
432,issac/ImamogluKY18,Zhengfeng Yang
433,issac/FilateiLMS06,Akpodigha Filatei
434,issac/FilateiLMS06,Marc Moreno Maza
435,issac/FilateiLMS06,Xin Li 0009
436,issac/FilateiLMS06,Ã‰ric Schost
437,issac/HoevenL18,Joris van der Hoeven
438,issac/HoevenL18,Robin Larrieu
439,issac/Bayer04,Thomas Bayer
440,issac/CorlessDJ07,David J. Jeffrey
441,issac/CorlessDJ07,Hui Ding
442,issac/CorlessDJ07,Robert M. Corless
443,issac/BigattiHS19,Anna Maria Bigatti
444,issac/BigattiHS19,Eduardo SÃ¡enz-de-CabezÃ³n
445,issac/BigattiHS19,JÃ³nathan Heras
446,issac/BachS13,Eric Bach
447,issac/BachS13,Jonathan P. Sorenson
448,issac/MonaganM97,Gladys Monagan
449,issac/MonaganM97,Michael B. Monagan
450,issac/Nagasaka11,Kosaku Nagasaka
451,issac/ChenHKL15,Hui Huang
452,issac/ChenHKL15,Manuel Kauers
453,issac/ChenHKL15,Shaoshi Chen
454,issac/ChenHKL15,Ziming Li
455,issac/AvitzurBK95,Norbert Kajler
456,issac/AvitzurBK95,Olaf Bachmann
457,issac/AvitzurBK95,Ron Avitzur
458,issac/Salvy05,Bruno Salvy
459,issac/LambanMRR13,Francisco-JesÃºs MartÃ­n-Mateos
460,issac/LambanMRR13,JosÃ©-Luis Ruiz-Reina
461,issac/LambanMRR13,Julio Rubio
462,issac/LambanMRR13,Laureano LambÃ¡n
463,issac/ChenM07,Xiaohui Meng
464,issac/ChenM07,Yufu Chen
465,issac/Nabeshima07,Katsusuke Nabeshima
466,issac/Giesbrecht95,Mark Giesbrecht
467,issac/KapurS97,Deepak Kapur
468,issac/KapurS97,Tushar Saxena
469,issac/KeadyR93,G. Keady
470,issac/KeadyR93,M. G. Richardson
471,issac/Volcheck93,Emil J. Volcheck
472,issac/ZhouL09,George Labahn
473,issac/ZhouL09,Wei Zhou
474,issac/BahrdtS17,Daniel Bahrdt
475,issac/BahrdtS17,Martin P. Seybold
476,issac/BerthomieuBF15,Brice Boyer
477,issac/BerthomieuBF15,Jean-Charles FaugÃ¨re
478,issac/BerthomieuBF15,JÃ©rÃ©my Berthomieu
479,issac/BiniB07,Dario Andrea Bini
480,issac/BiniB07,Paola Boito
481,issac/SmithRJ07,Gabriel Dos Reis
482,issac/SmithRJ07,Jaakko JÃ¤rvi
483,issac/SmithRJ07,Jacob N. Smith
484,issac/Sommeling94,Ron Sommeling
485,issac/Saunders01,B. David Saunders
486,issac/DoraMMY01,Aude Maignan
487,issac/DoraMMY01,Jean Della Dora
488,issac/DoraMMY01,Mihaela Mirica-Ruse
489,issac/DoraMMY01,Sergio Yovine
490,issac/GanzhaVBH94,Evgenii V. Vorozhtsov
491,issac/GanzhaVBH94,J. A. van Hulzen
492,issac/GanzhaVBH94,J. Boers
493,issac/GanzhaVBH94,Victor G. Ganzha
494,issac/AbbottSZ00,John Abbott
495,issac/AbbottSZ00,Paul Zimmermann
496,issac/AbbottSZ00,Victor Shoup
497,issac/Tsarev10,Sergey P. Tsarev
498,issac/Li98,Ziming Li
499,issac/StetterT98,GÃ¼nther H. Thallinger
500,issac/StetterT98,Hans J. Stetter
501,issac/Hoeij95,Mark van Hoeij
502,issac/Sudan08,Madhu Sudan
503,issac/Kryukov86,A. P. Kryukov
504,issac/SingerSC81,B. David Saunders
505,issac/SingerSC81,B. F. Caviness
506,issac/SingerSC81,Michael F. Singer
507,issac/AbramovP01,Marko Petkovsek
508,issac/AbramovP01,Sergei A. Abramov
509,issac/Butler92,Gregory Butler
510,issac/Lazard06,Daniel Lazard
511,issac/BoyleP06,Alex Potapchik
512,issac/BoyleP06,Phelim Boyle
513,issac/KaiNN07,Hiroshi Kai
514,issac/KaiNN07,Matu-Tarow Noda
515,issac/KaiNN07,Nanami Nakagawa
516,issac/Chen90,Guoting Chen
517,issac/Schmidt76,Peter Schmidt 0002
518,issac/Fujimoto14,Mitsushi Fujimoto
519,issac/RodriguezT15,Jose Israel Rodriguez
520,issac/RodriguezT15,Xiaoxian Tang
521,issac/ClamondDG15,AndrÃ© Galligo
522,issac/ClamondDG15,Denys Dutykh
523,issac/ClamondDG15,Didier Clamond
524,issac/KryukovRL86,A. P. Kryukov
525,issac/KryukovRL86,A. Ya. Rodionov
526,issac/KryukovRL86,Grigori L. Litvinov
527,issac/GiesbrechtR08,Daniel S. Roche
528,issac/GiesbrechtR08,Mark Giesbrecht
529,issac/EmirisV14,Ioannis Z. Emiris
530,issac/EmirisV14,Raimundas Vidunas
531,issac/Shackell99,John Shackell
532,issac/StorjohannL96,Arne Storjohann
533,issac/StorjohannL96,George Labahn
534,issac/ApelK91,Joachim Apel
535,issac/ApelK91,Uwe Klaus
536,issac/Aoki19,Satoshi Aoki
537,issac/Fateman91,Richard J. Fateman
538,issac/DalmasGW97,Marc GaÃ«tano
539,issac/DalmasGW97,Stephen M. Watt
540,issac/DalmasGW97,StÃ©phane Dalmas
541,issac/EinwohnerF95,Richard J. Fateman
542,issac/EinwohnerF95,T. H. Einwohner
543,issac/Sasaki01,Tateaki Sasaki
544,issac/ChandrasekaranG18,Abhejit Rajagopal
545,issac/ChandrasekaranG18,Nithin Govindarajan
546,issac/ChandrasekaranG18,Shivkumar Chandrasekaran
547,issac/MourrainT14,Bernard Mourrain
548,issac/MourrainT14,Philippe TrÃ©buchet
549,issac/Chou90,Shang-Ching Chou
550,issac/Saunders15,B. David Saunders
551,issac/GuidolinR18,Ana Romero
552,issac/GuidolinR18,Andrea Guidolin
553,issac/Strzebonski09,Adam W. Strzebonski
554,issac/Villard07,Gilles Villard
555,issac/GalligoR01,AndrÃ© Galligo
556,issac/GalligoR01,David Rupprecht
557,issac/Bodrato10,Marco Bodrato
558,issac/SalvyS92,Bruno Salvy
559,issac/SalvyS92,John Shackell
560,issac/LandsmannSWH00,Erik Hillgarter
561,issac/LandsmannSWH00,Franz Winkler 0001
562,issac/LandsmannSWH00,GÃ¼nter Landsmann
563,issac/LandsmannSWH00,Josef Schicho
564,issac/MarinariMM91,H. Michael MÃ¶ller
565,issac/MarinariMM91,Maria Grazia Marinari
566,issac/MarinariMM91,Teo Mora
567,issac/AbramovB01,Manuel Bronstein
568,issac/AbramovB01,Sergei A. Abramov
569,issac/Lee07,Wen-shin Lee
570,issac/KauersS07,Carsten Schneider
571,issac/KauersS07,Manuel Kauers
572,issac/ChenD99,Guoting Chen
573,issac/ChenD99,Jean Della Dora
574,issac/BuseN17,Ibrahim NonkanÃ©
575,issac/BuseN17,Laurent BusÃ©
576,issac/Moroz06,Guillaume Moroz
577,issac/BiniP93,Dario Bini
578,issac/BiniP93,Victor Y. Pan
579,issac/Bronstein86,Manuel Bronstein
580,issac/KaltofenLYZ08,Bin Li
581,issac/KaltofenLYZ08,Erich Kaltofen
582,issac/KaltofenLYZ08,Lihong Zhi
583,issac/KaltofenLYZ08,Zhengfeng Yang
584,issac/Farcot06,Etienne Farcot
585,issac/ChtcherbaK06,Arthur D. Chtcherba
586,issac/ChtcherbaK06,Deepak Kapur
587,issac/Din08,Mohab Safey El Din
588,issac/GraafW99,J. Wisliceny
589,issac/GraafW99,Willem A. de Graaf
590,issac/AbramovB00,Manuel Bronstein
591,issac/AbramovB00,Sergei A. Abramov
592,issac/DumasHPR19,ClÃ©ment Pernet
593,issac/DumasHPR19,Daniel S. Roche
