key,title,year,crossref
jods/BanerjeeD09,Modeling Data Warehouse Schema Evolution over Extended Hierarchy Semantics.,2009,jods/2009-13
jods/BrunzelS08,Discovering Groups of Sibling Terms from Web Documents with XTREEM-SG.,2008,jods/2008-11
jods/NiinimakiN09,An ETL Process for OLAP Using RDF/OWL Ontologies.,2009,jods/2009-13
jods/Majkic09,Intensional First-Order Logic for P2P Database Systems.,2009,jods/2009-12
jods/FletcherW09,Towards a General Framework for Effective Solutions to the Data Mapping Problem.,2009,jods/2009-14
jods/SantosMQV08,A Cooperative Approach for Composite Ontology Mapping.,2008,jods/2008-10
jods/CaliLPS09,Tightly Coupled Probabilistic Description Logic Programs for the Semantic Web.,2009,jods/2009-12
jods/LamSPV08,A Fine-Grained Approach to Resolving Unsatisfiable Ontologies.,2008,jods/2008-10
jods/GiorginiMNS03,Formal Reasoning Techniques for Goal Models.,2003,jods/2003
jods/MorkSRKW08,The Harmony Integration Workbench.,2008,jods/2008-11
jods/HerschelHBC06,An Architecture for Emergent Semantics.,2006,jods/2008-11
jods/WangP08,Semantically Processing Parallel Colour Descriptions.,2008,jods/2008-10
jods/ParsonsW03,Attribute-Based Semantic Reconciliation of Multiple Data Sources.,2003,jods/2003
fomac/HolzlG16,Continuous Collaboration for Changing Environments.,2016,fomac/2016-1
fomac/SteffenN16,Archimedean Points: The Essence for Mastering Change.,2016,fomac/2016-1
fomac/Lindvall0TDH16,Good Change and Bad Change: An Analysis Perspective on Software Evolution.,2016,fomac/2016-1
fomac/Tripakis16,Compositional Model-Based System Design and Other Foundations for Mastering Change.,2016,fomac/2016-1
fomac/Felderer16,Issues on Software Quality Models for Mastering Change.,2016,fomac/2016-1
fomac/CelebicBF16,Traceability Types for Mastering Change in Collaborative Software Quality Management.,2016,fomac/2016-1
fomac/Margaria16,Knowledge Management for Inclusive System Evolution.,2016,fomac/2016-1
fomac/BubelDHJOSY16,Proof Repositories for Compositional Verification of Evolving Software Systems - Managing Change When Proving Software Correct.,2016,fomac/2016-1
fomac/LegayT16,Statistical Model Checking with Change Detection.,2016,fomac/2016-1
fomac/Rensink16,Model Patterns - The Quest for the Right Level of Abstraction.,2016,fomac/2016-1
fomac/BelznerHKW16,Collective Autonomic Systems: Towards Engineering Principles and Their Foundations.,2016,fomac/2016-1
fomac/HavelundK16,Verified Change.,2016,fomac/2016-1
fomac/Steffen16,Introduction to the First Issue of FoMaC.,2016,fomac/2016-1
tdhms/LiuGWY14,Flexible Visual Cryptography Scheme and Its Application.,2014,tdhms/2014-9
tdhms/ChaK10,Collusion-Resistant Fingerprinting Systems: Review and Recent Results.,2010,tdhms/2010-5
tdhms/Yamaguchi14,Extended Visual Cryptography Scheme for Multiple-Secrets Continuous-Tone Images.,2014,tdhms/2014-9
tdhms/ItoK10,Phase-Only Correlation Based Matching in Scrambled Domain for Preventing Illegal Matching.,2010,tdhms/2010-5
tdhms/LiuYLW14,ESSVCS: An Enriched Secret Sharing Visual Cryptography.,2014,tdhms/2014-9
tdhms/MeerwaldU12,An Efficient Robust Watermarking Method Integrated in H.264/SVC.,2012,tdhms/2012-7
tdhms/XuanSCTNT09,Optimum Histogram Pair Based Image Lossless Data Embedding.,2009,tdhms/2009-4
tdhms/PiperS09,How to Compare Image Watermarking Algorithms.,2009,tdhms/2009-4
tdhms/EchizenYG12,IR Hiding: Method for Preventing Illegal Recording of Videos Based on Differences in Sensory Perception between Humans and Devices.,2012,tdhms/2012-7
tdhms/Vila-ForcenVKPP08,Quantization-Based Methods: Additive Attacks Performance Analysis.,2008,tdhms/2008-3
tdhms/YanWESN14,A Novel Perceptual Secret Sharing Scheme.,2014,tdhms/2014-9
tdhms/EchizenYG15,IR Hiding: Use of Specular Reflection for Short-Wavelength-Pass-Filter Detection to Prevent Re-recording of Screen Images.,2015,tdhms/2015-10
tdhms/BierbrauerF08,Constructing Good Covering Codes for Applications in Steganography.,2008,tdhms/2008-3
tdhms/JiangHT09,A Novel Least Distortion Linear Gain Model for Halftone Image Watermarking Incorporating Perceptual Quality Metrics.,2009,tdhms/2009-4
tdhms/ZmudzinskiSB12,Watermark Embedding Using Audio Fingerprinting.,2012,tdhms/2012-8
tdhms/LiuYZG11,A Progressive Quality Hiding Strategy Based on Equivalence Partitions of Hiding Units.,2011,tdhms/2011-6
tdhms/LaadjelBKNY10,Partial Palmprint Matching Using Invariant Local Minutiae Descriptors.,2010,tdhms/2010-5
tdhms/SubramanyamE11,Robust Watermarking of Compressed JPEG Images in Encrypted Domain.,2011,tdhms/2011-6
tdhms/WuC12,Secure Watermarking on 3D Geometry via ICA and Orthogonal Transformation.,2012,tdhms/2012-7
tdhms/YangJK11,Embedding Binary Watermarks in Dual-Tree Complex Wavelets Domain for Access Control of Digital Images.,2011,tdhms/2011-6
tdhms/LiuT09,Robust Watermarking in Slides of Presentations by Blank Space Coloring: A New Approach.,2009,tdhms/2009-4
tdhms/Al-AssamASJ12,Exploiting Relative Entropy and Quality Analysis in Cumulative Partial Biometric Fusion.,2012,tdhms/2012-8
tdhms/WeirY10,A Comprehensive Study of Visual Cryptography.,2010,tdhms/2010-5
tdhms/KraetzerD12,Plausibility Considerations on Steganalysis as a Security Mechanism - Discussions on the Example of Audio Steganalysis.,2012,tdhms/2012-8
tdhms/LiuC15,Wave Atom-Based Perceptual Image Hashing Against Content-Preserving and Content-Altering Attacks.,2015,tdhms/2015-10
tdhms/Venturini08,Oracle Channels.,2008,tdhms/2008-3
tdhms/CimatoYW14,Visual Cryptography Based Watermarking.,2014,tdhms/2014-9
tdhms/YamadaEY12,PC-Based Real-Time Video Watermark Embedding System Independent of Platform for Parallel Computing.,2012,tdhms/2012-7
tdhms/XiaZFW15,Strengthening Spread Spectrum Watermarking Security via Key Controlled Wavelet Filter.,2015,tdhms/2015-10
tdhms/SurRM12,Secure Steganography Using Randomized Cropping.,2012,tdhms/2012-7
tdhms/MakrushinSV12,Improving Reliability of Biometric Hash Generation through the Selection of Dynamic Handwriting Features.,2012,tdhms/2012-8
tdhms/FuY14,Ideal Secure Multi-Secret Visual Cryptography Scheme with Ring Shares.,2014,tdhms/2014-9
tdhms/NealE15,A Reliable Covert Communication Scheme Based on VoIP Steganography.,2015,tdhms/2015-10
tdhms/AycockC15,Permutation Steganography in FAT Filesystems.,2015,tdhms/2015-10
tdhms/XiangK11,Histogram-Based Image Hashing for Searching Content-Preserving Copies.,2011,tdhms/2011-6
tdhms/WeirY10a,Secure Masks for Visual Cryptography.,2010,tdhms/2010-5
tdhms/MetternichWS10,Color Based Tracing in Real-Life Surveillance Data.,2010,tdhms/2010-5
tdhms/Gloe12,Feature-Based Forensic Camera Model Identification.,2012,tdhms/2012-8
tdhms/ZhaoSA12,Steganography in Streaming Multimedia over Networks.,2012,tdhms/2012-7
tdhms/QiQ09,A Desynchronization Resilient Watermarking Scheme.,2009,tdhms/2009-4
tdhms/CaoK12,Measuring the Statistical Correlation Inconsistencies in Mobile Images for Tamper Detection.,2012,tdhms/2012-7
tdhms/JohnsonSLGB15,Adaptive Steganography and Steganalysis with Fixed-Size Embedding.,2015,tdhms/2015-10
tdhms/SutthiwanSZNS11,Markovian Rake Transform for Digital Image Tampering Detection.,2011,tdhms/2011-6
tdhms/KorzhikISMG08,On the Use of Bhattacharyya Distance as a Measure of the Detectability of Steganographic Systems.,2008,tdhms/2008-3
tdhms/YampolskiyMH14,Password Protected Visual Cryptography via Cellular Automaton Rule 30.,2014,tdhms/2014-9
tdhms/JamzadK08,Secure Steganography Using Gabor Filter and Neural Networks.,2008,tdhms/2008-3
tcsb/YuanTPMWS12,Probabilistic Model Checking of the PDGF Signaling Pathway.,2012,tcsb/2012-14
tcsb/AndreiC12,Trend-Based Analysis of a Population Model of the AKAP Scaffold Protein.,2012,tcsb/2012-14
tcsb/FeytmansNP05,Genome Size and Numbers of Biological Functions.,2005,tcsb/2005-1
tcsb/ForestieroMPS08,Towards a Self-structured Grid: An Ant-Inspired P2P Algorithm.,2008,tcsb/2008-10
tcsb/RemyR07,On Differentiation and Homeostatic Behaviours of Boolean Dynamical Systems.,2007,tcsb/2007-8
tcsb/RuedaBN08,Clustering Time-Series Gene Expression Data with Unequal Time Intervals.,2008,tcsb/2008-10
tcsb/PriamiQ05,Operational Patterns in Beta-Binders.,2005,tcsb/2005-1
tcsb/Ciocchetta08,The BlenX Language with Biological Transactions.,2008,tcsb/2008-9
tcsb/Chesi09,Computing Equilibrium Points of Genetic Regulatory Networks.,2009,tcsb/2009-11
tcsb/SaffreyMHVYFBW07,End-to-End Information Management for Systems Biology.,2007,tcsb/2007-8
tcsb/MandoiuPT05,Improved Tag Set Design and Multiplexing Algorithms for Universal Arrays.,2005,tcsb/2005-2
tcsb/DassowM09,Accepting Networks of Non-inserting Evolutionary Processors.,2009,tcsb/2009-11
tcsb/ZhengL05,A Protein Structural Alphabet and Its Substitution Matrix CLESUM.,2005,tcsb/2005-2
tcsb/Ciocchetta09,Bio-PEPA with Events.,2009,tcsb/2009-11
tcsb/ZobeleyLKIK05,A New Time-Dependent Complexity Reduction Method for Biochemical Systems.,2005,tcsb/2005-1
tcsb/BortolussiP09,Dynamical Systems and Stochastic Programming: To Ordinary Differential Equations and Back.,2009,tcsb/2009-11
tcsb/BeyerTLSF10,Mechanistic Insights into Metabolic Disturbance during Type-2 Diabetes and Obesity Using Qualitative Networks.,2010,tcsb/2010-12
tcsb/RadulescuSPCL11,Genetically Regulated Metabolic Networks: Gale-Nikaido Modules and Differential Inequalities.,2011,tcsb/2011-13
tcsb/XuZ05,Virtual Gene: Using Correlations Between Genes to Select Informative Genes on Microarray Datasets.,2005,tcsb/2005-2
tcsb/WangNGR08,An Evolutionary Approach to the Non-unique Oligonucleotide Probe Selection Problem.,2008,tcsb/2008-10
tcsb/DanosFFHK09,Rule-Based Modelling and Model Perturbation.,2009,tcsb/2009-11
tcsb/WallaceW11,Cultural Epigenetics: On the Heritability of Complex Diseases.,2011,tcsb/2011-13
tcsb/SongSHA05,KXtractor: An Effective Biomedical Information Extraction Technique Based on Mixture Hidden Markov Models.,2005,tcsb/2005-2
tcsb/HakkinenBSYR11,Evolutionary Dynamics of a Population of Cells with a Toxin Suppressor Gene.,2011,tcsb/2011-13
tcsb/DavidBM09,"A Projective Brane Calculus with Activate, Bud and Mate as Primitive Actions.",2009,tcsb/2009-11
tcsb/Wallace12,Metabolic Constraints on the Evolution of Genetic Codes: Did Multiple Preaerobic' Ecosystem Transitions Entrain Richer Dialects via Serial Endosymbiosis?,2012,tcsb/2012-14
tcsb/BrimFDS12,On Approximative Reachability Analysis of Biochemical Dynamical Systems.,2012,tcsb/2012-14
tcsb/LiuSMC05,Profiling and Searching for RNA Pseudoknot Structures in Genomes.,2005,tcsb/2005-2
tcsb/GomezAPGJV05,Accessible Protein Interaction Data for Network Modeling. Structure of the Information and Available Repositories.,2005,tcsb/2005-1
tcsb/AtakanA08,On Channel Capacity and Error Compensation in Molecular Communication.,2008,tcsb/2008-10
tcsb/JackP09,Discrete Modeling of Biochemical Signaling with Memory Enhancement.,2009,tcsb/2009-11
tcsb/BarbutiCMM11,Delay Stochastic Simulation of Biological Systems: A Purely Delayed Approach.,2011,tcsb/2011-13
tcsb/WallaceW08,Punctuated Equilibrium in Statistical Models of Generalized Coevolutionary Resilience: How Sudden Ecosystem Transitions Can Entrain Both Phenotype Expression and Darwinian Selection.,2008,tcsb/2008-9
tcsb/MeyerSTY08,Robustness to Code and Data Deletion in Autocatalytic Quines.,2008,tcsb/2008-10
tcsb/WallaceW09,"Code, Context, and Epigenetic Catalysis in Gene Expression.",2009,tcsb/2009-11
tcsb/Guerriero09,Qualitative and Quantitative Analysis of a Bio-PEPA Model of the Gp130/JAK/STAT Signalling Pathway.,2009,tcsb/2009-11
tcsb/CalderH09,Process Algebra Modelling Styles for Biomolecular Processes.,2009,tcsb/2009-11
tcsb/KolliLHPP05,Calculating Genomic Distances in Parallel Using OpenMP.,2005,tcsb/2005-2
tcsb/Dressler07,Bio-inspired Network-Centric Operation and Control for Sensor/Actuator Networks.,2007,tcsb/2007-8
tcsb/PauleveMR11,Refining Dynamics of Gene Regulatory Networks in a Stochastic p-Calculus Framework.,2011,tcsb/2011-13
tcsb/CiocchettaDHH10,Modelling and Analysis of the NF-,2010,tcsb/2010-12
tcsb/BartocciLMP12,Multiple Verification in Complex Biological Systems: The Bone Remodelling Case Study.,2012,tcsb/2012-14
tcsb/SegataB08,Stochastic ,2008,tcsb/2008-10
tcsb/AngiusHW12,Quasi Product Form Approximation for Markov Models of Reaction Networks.,2012,tcsb/2012-14
tcsb/BlinFRV05,What Makes the Arc-Preserving Subsequence Problem Hard?,2005,tcsb/2005-2
tcsb/LarcherPR10,Modelling Self-assembly in BlenX.,2010,tcsb/2010-12
